state,date,co2_per_capita,prcp,snow,tavg,gdp_per_capita,eprod_per_capita,euse_per_capita,eflow_per_capita,yearly_num_plants,yearly_renew_pct,yearly_fossil_pct,yearly_coal_pct,republican_vote_pct,yearly_pop_density,avg_facility_age,avg_weighted_facility_age
FL,2002-12-01,0.5928416687987623,5.41,0.0,52.6,0.04471425823742898,0.03302263656447187,0.2493210348862779,-0.21629839832180603,55.0,0.0009053921196797,0.8004404119884767,0.3241971642629416,,0.0039401127783733,62.45454545454545,14284882.269272728
FL,2003-01-01,0.6770681709718577,0.07,0.0,47.5,0.04597919852788315,0.031358758792372536,0.24587926959904047,-0.21452051080666792,55.0,0.0012354404139511,0.8145080666027528,0.3183038262483322,,0.00386718838443821,66.10909090909091,16904760.278363634
FL,2003-02-01,0.5241260210120098,4.66,0.0,55.9,0.04597919852788315,0.031358758792372536,0.24587926959904047,-0.21452051080666792,55.0,0.0012354404139511,0.8145080666027528,0.3183038262483322,,0.00386718838443821,62.763636363636365,13317723.406545455
FL,2003-03-01,0.5848111987795874,10.71,0.0,65.2,0.04597919852788315,0.031358758792372536,0.24587926959904047,-0.21452051080666792,55.0,0.0012354404139511,0.8145080666027528,0.3183038262483322,,0.00386718838443821,65.23636363636363,15150515.144181818
FL,2003-04-01,0.5826313384107407,2.63,0.0,66.7,0.04597919852788315,0.031358758792372536,0.24587926959904047,-0.21452051080666792,55.0,0.0012354404139511,0.8145080666027528,0.3183038262483322,,0.00386718838443821,67.61818181818182,15156780.086545454
FL,2003-05-01,0.7600537247961299,2.54,0.0,76.4,0.04597919852788315,0.031358758792372536,0.24587926959904047,-0.21452051080666792,55.0,0.0012354404139511,0.8145080666027528,0.3183038262483322,,0.00386718838443821,70.03636363636363,19854464.59509091
FL,2003-06-01,0.7435119286924289,6.76,0.0,79.0,0.04597919852788315,0.031358758792372536,0.24587926959904047,-0.21452051080666792,55.0,0.0012354404139511,0.8145080666027528,0.3183038262483322,,0.00386718838443821,71.07272727272728,19806810.158727273
FL,2003-07-01,0.8022565478236553,7.34,0.0,80.6,0.04597919852788315,0.031358758792372536,0.24587926959904047,-0.21452051080666792,55.0,0.0012354404139511,0.8145080666027528,0.3183038262483322,,0.00386718838443821,72.41818181818182,21585287.454545453
FL,2003-08-01,0.7770377451065436,1.83,0.0,80.4,0.04597919852788315,0.031358758792372536,0.24587926959904047,-0.21452051080666792,55.0,0.0012354404139511,0.8145080666027528,0.3183038262483322,,0.00386718838443821,73.49090909090908,21222354.84890909
FL,2003-09-01,0.7348244895270755,3.04,0.0,76.4,0.04597919852788315,0.031358758792372536,0.24587926959904047,-0.21452051080666792,55.0,0.0012354404139511,0.8145080666027528,0.3183038262483322,,0.00386718838443821,74.56363636363636,20288270.35418182
