"STATION","NAME","DATE","PRCP","SNOW","TAVG"
"USW00094847","DETROIT METRO AIRPORT, MI US","1996-01","1.85","6.3","24.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","1996-02","1.76",,"26.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","1996-03","1.56","11.8","30.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","1996-04","3.39","0.1","45.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","1996-05","2.82","0.0","56.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","1996-06","2.37","0.0","70.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","1996-07","2.64","0.0","70.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","1996-08","0.43","0.0","72.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","1996-09","4.42","0.0","64.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","1996-10","1.59","0.0","52.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","1996-11","1.99","4.1","34.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","1996-12","2.57","7.4","31.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","1997-01","2.35","20.8","22.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","1997-02","3.91","5.4","30.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","1997-03","3.22","4.9","37.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","1997-04","1.56","0.5","45.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","1997-05","5.23","0.0","52.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","1997-06","3.17","0.0","69.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","1997-07","2.69","0.0","72.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","1997-08","3.22","0.0","68.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","1997-09","3.42","0.0","62.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","1997-10","1.91","0.1","51.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","1997-11","0.95","4.6","37.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","1997-12","1.61","6.0","32.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","1998-01","2.60","8.3","32.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","1998-02","3.56","0.0","36.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","1998-03","3.63","4.4","39.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","1998-04","3.85","0.0","50.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","1998-05","2.46","0.0","65.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","1998-06","2.69","0.0","69.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","1998-07","5.72","0.0","73.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","1998-08","4.19","0.0","73.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","1998-09","1.50","0.0","68.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","1998-10","1.41","0.0","53.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","1998-11","1.37","0.0","43.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","1998-12","1.16","1.2","35.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","1999-01","2.99","27.3","23.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","1999-02","1.98","7.8","32.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","1999-03","1.12","13.2","34.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","1999-04","5.13","0.0","50.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","1999-05","2.20","0.0","62.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","1999-06","5.46","0.0","70.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","1999-07","3.62","0.0","76.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","1999-08","1.31","0.0","70.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","1999-09","3.11","0.0","65.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","1999-10","1.56","0.0","51.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","1999-11","1.49","0.0","45.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","1999-12","2.22","4.3","32.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01","1.30","9.6","24.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02","0.84","8.1","31.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03","1.56","1.1","44.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04","4.35","0.6","48.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-05","5.12","0.0","61.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-06","4.91","0.0","69.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-07","5.40","0.0","70.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-08","4.63","0.0","70.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-09","6.71","0.0","62.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-10","3.06","0.0","55.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-11","1.69","1.4","40.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-12","2.63","25.1","19.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","2001-01","0.70","3.4","26.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","2001-02","2.88","3.0","29.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","2001-03","0.94","5.4","35.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2001-04","3.21","0.9","51.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","2001-05","3.70","0.0","61.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","2001-06","3.40","0.0","69.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2001-07","1.17","0.0","73.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2001-08","2.87","0.0","74.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2001-09","4.28","0.0","62.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2001-10","6.77","0.0","52.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2001-11","2.35","0.0","47.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","2001-12","2.24","4.9","35.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","2002-01","3.36","15.0","32.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2002-02","1.91","6.7","32.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","2002-03","2.12","7.2","34.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","2002-04","4.48","0.0","49.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2002-05","3.76","0.0","54.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2002-06","1.07","0.0","70.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","2002-07","3.50","0.0","76.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2002-08","3.33","0.0","73.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2002-09","1.95","0.0","68.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","2002-10","1.16","0.0","50.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2002-11","2.72","1.6","39.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","2002-12","1.17","13.1","28.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2003-01","0.43","14.0","20.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2003-02","0.67","19.3","23.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2003-03","1.46","8.1","35.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","2003-04","2.07","5.0","48.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","2003-05","4.73","0.0","56.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2003-06","2.50","0.0","66.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","2003-07","2.59","0.0","72.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","2003-08","4.36","0.0","72.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","2003-09","4.28","0.0","63.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2003-10","2.74","0.0","50.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","2003-11","2.97","0.4","44.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2003-12","2.62","3.7","33.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2004-01","1.44","14.0","20.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2004-02","0.63","0.9","28.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2004-03","3.30","5.2","40.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","2004-04","0.69","0.0","50.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","2004-05","8.45","0.0","60.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","2004-06","2.87","0.0","67.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2004-07","2.85","0.0","71.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","2004-08","4.51","0.0","68.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2004-09","0.65","0.0","67.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","2004-10","2.09","0.0","53.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2004-11","3.22","0.1","43.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2004-12","2.91","12.6","29.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2005-01","3.40","26.9","24.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2005-02","3.02","12.5","28.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2005-03","0.74","7.4","33.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","2005-04","1.66","4.3","50.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2005-05","1.85","0.1","56.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","2005-06","1.95","0.0","74.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2005-07","5.38","0.0","75.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","2005-08","1.33","0.0","74.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","2005-09","1.63","0.0","68.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","2005-10","0.13","0.0","55.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","2005-11","4.70","4.3","43.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","2005-12","2.52","19.9","25.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","2006-01","3.24","5.0","35.3"
