"STATION","NAME","DATE","PRCP","SNOW","TAVG"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1995-08","11.08","0.0","82.5"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1995-09","7.98","0.0","75.6"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1995-10","3.41","0.0","69.7"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1995-11","2.02","0.0","53.7"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1995-12","1.02","0.0","47.4"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1996-01","1.05","0.0","48.0"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1996-02","1.36","0.0","51.8"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1996-03","4.05","0.0","53.7"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1996-04","2.70","0.0","64.1"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1996-05","1.72","0.0","74.4"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1996-06","4.05","0.0","78.3"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1996-07","7.35","0.0","81.9"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1996-08","5.74","0.0","78.7"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1996-09","8.78","0.0","75.3"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1996-10","5.07","0.0","65.8"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1996-11","1.74","0.0","54.6"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1996-12","2.15","0.0","52.3"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1997-01","2.68","0.0","49.7"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1997-02","2.86","0.0","55.1"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1997-03","1.81","0.0","64.2"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1997-04","6.61","0.0","63.0"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1997-05","2.04","0.0","69.2"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1997-06","13.76","0.0","74.8"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1997-07","8.52","0.0","80.7"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1997-08","2.16","0.0","79.0"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1997-09","9.59","0.0","75.9"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1997-10","4.12","0.0","65.9"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1997-11","3.26","0.0","55.1"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1997-12","5.19","0.0","49.8"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1998-01","7.59","0.0","52.5"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1998-02","10.17","0.0","53.7"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1998-03","5.52","0.0","56.2"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1998-04","4.00","0.0","65.1"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1998-05","4.63","0.0","75.1"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1998-06","3.42","0.0","82.8"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1998-07","6.74","0.0","83.8"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1998-08","4.44","0.0","81.2"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1998-09","14.74","0.0","77.3"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1998-10","1.99","0.0","68.6"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1998-11","0.17","0.0","62.3"
