STATION,NAME,DATE,PRCP,SNOW,TAVG
USW00024130,"BAKER CITY AIRPORT, OR US",1996-07,0.34,0,68.4
USW00024130,"BAKER CITY AIRPORT, OR US",1996-08,0.53,0,66.1
USW00024130,"BAKER CITY AIRPORT, OR US",1996-09,0.38,0,55.1
USW00024130,"BAKER CITY AIRPORT, OR US",1996-10,0.49,0,46.2
USW00024130,"BAKER CITY AIRPORT, OR US",1996-11,1.42,2.9,36.2
USW00024130,"BAKER CITY AIRPORT, OR US",1996-12,2.57,15.7,29.8
USW00024130,"BAKER CITY AIRPORT, OR US",1997-01,1.21,6.7,28.8
USW00024130,"BAKER CITY AIRPORT, OR US",1997-02,0.1,0.5,32.5
USW00024130,"BAKER CITY AIRPORT, OR US",1997-03,0.25,1.6,40.9
USW00024130,"BAKER CITY AIRPORT, OR US",1997-04,0.86,0.3,43.2
USW00024130,"BAKER CITY AIRPORT, OR US",1997-05,0.5,0,56.4
USW00024130,"BAKER CITY AIRPORT, OR US",1997-06,1.47,0,58.7
USW00024130,"BAKER CITY AIRPORT, OR US",1997-07,2.27,0,64.9
USW00024130,"BAKER CITY AIRPORT, OR US",1997-08,0.21,0,67.9
USW00024130,"BAKER CITY AIRPORT, OR US",1997-09,0.44,0,59.9
USW00024130,"BAKER CITY AIRPORT, OR US",1997-10,0.44,0,45.5
USW00024130,"BAKER CITY AIRPORT, OR US",1997-11,0.55,0.6,37.8
USW00024130,"BAKER CITY AIRPORT, OR US",1997-12,0.58,6.1,28
USW00024130,"BAKER CITY AIRPORT, OR US",1998-01,1.09,14.9,30.7
USW00024130,"BAKER CITY AIRPORT, OR US",1998-02,0.61,6,36
USW00024130,"BAKER CITY AIRPORT, OR US",1998-03,1.09,4.7,39.7
USW00024130,"BAKER CITY AIRPORT, OR US",1998-04,0.79,0.6,44.7
USW00024130,"BAKER CITY AIRPORT, OR US",1998-05,4.2,0,51.4
USW00024130,"BAKER CITY AIRPORT, OR US",1998-06,0.59,0,57.8
USW00024130,"BAKER CITY AIRPORT, OR US",1998-07,0.56,0,70.9
USW00024130,"BAKER CITY AIRPORT, OR US",1998-08,0.08,0,68.3
USW00024130,"BAKER CITY AIRPORT, OR US",1998-09,1.67,0,63
USW00024130,"BAKER CITY AIRPORT, OR US",1998-10,0.24,0,44.5
USW00024130,"BAKER CITY AIRPORT, OR US",1998-11,2.03,2.8,38.1
USW00024130,"BAKER CITY AIRPORT, OR US",1998-12,1.06,5.8,26.3
USW00024130,"BAKER CITY AIRPORT, OR US",1999-01,0.96,6.2,31.2
USW00024130,"BAKER CITY AIRPORT, OR US",1999-02,1.32,18.1,29.8
USW00024130,"BAKER CITY AIRPORT, OR US",1999-03,0.55,2.6,38.4
USW00024130,"BAKER CITY AIRPORT, OR US",1999-04,0.4,1.7,43
USW00024130,"BAKER CITY AIRPORT, OR US",1999-05,0.59,0.1,49.2
USW00024130,"BAKER CITY AIRPORT, OR US",1999-06,0.49,0,58.4
USW00024130,"BAKER CITY AIRPORT, OR US",1999-07,0.02,0,64.5
USW00024130,"BAKER CITY AIRPORT, OR US",1999-08,0.25,0,67.6
USW00024130,"BAKER CITY AIRPORT, OR US",1999-09,0,0,56.4
USW00024130,"BAKER CITY AIRPORT, OR US",1999-10,0.69,0,46.9
USW00024130,"BAKER CITY AIRPORT, OR US",1999-11,0.7,1.1,42
USW00024130,"BAKER CITY AIRPORT, OR US",1999-12,1.43,11.3,26.2
USW00024130,"BAKER CITY AIRPORT, OR US",2000-01,1.54,16.7,28.6
USW00024130,"BAKER CITY AIRPORT, OR US",2000-02,0.98,1.8,36.8
USW00024130,"BAKER CITY AIRPORT, OR US",2000-03,0.97,6.1,38.8
USW00024130,"BAKER CITY AIRPORT, OR US",2000-04,0.9,0.2,48.4
USW00024130,"BAKER CITY AIRPORT, OR US",2000-05,0.69,0.4,53.1
USW00024130,"BAKER CITY AIRPORT, OR US",2000-06,0.59,0,60.4
USW00024130,"BAKER CITY AIRPORT, OR US",2000-07,0.17,0,67.4
USW00024130,"BAKER CITY AIRPORT, OR US",2000-08,0.07,0,66.9
USW00024130,"BAKER CITY AIRPORT, OR US",2000-09,2.02,,54
USW00024130,"BAKER CITY AIRPORT, OR US",2000-10,1.65,0,45.7
USW00024130,"BAKER CITY AIRPORT, OR US",2000-11,0.44,4.6,29.4
USW00024130,"BAKER CITY AIRPORT, OR US",2000-12,0.5,6.3,26.3
USW00024130,"BAKER CITY AIRPORT, OR US",2001-01,0.87,11.4,22.4
USW00024130,"BAKER CITY AIRPORT, OR US",2001-02,0.2,2.8,27.5
USW00024130,"BAKER CITY AIRPORT, OR US",2001-03,0.51,1.2,40.4
USW00024130,"BAKER CITY AIRPORT, OR US",2001-04,0.97,4.3,42.1
USW00024130,"BAKER CITY AIRPORT, OR US",2001-05,0.45,0,54.3
USW00024130,"BAKER CITY AIRPORT, OR US",2001-06,0.5,0,58.5
USW00024130,"BAKER CITY AIRPORT, OR US",2001-07,0.9,0,67.2
USW00024130,"BAKER CITY AIRPORT, OR US",2001-08,0.06,0,70
USW00024130,"BAKER CITY AIRPORT, OR US",2001-10,0.61,,44
