state,date,monthly_population,yearly_population,year,month,monthly_emissions,prcp,snow,tavg,gdp_rel_2017,yearly_gdp_rel_2017,gdp_rel_2017_interp,monthly_energy_prod,monthly_energy_use,yearly_energy_prod,yearly_energy_use,monthly_energy_flow,yearly_energy_flow,monthly_num_plants,yearly_num_plants
AZ,1990-04-01,,,1990,4,2484482.509827502,0.17,0.0,76.1,,,,36189.88888888889,76035.58333333334,512780.0,912983.0,-39845.69444444445,-400203.0,,
AZ,1990-05-01,,,1990,5,2828870.2330213888,0.16,0.0,81.1,,,,37007.61111111111,76041.375,512780.0,912983.0,-39033.76388888889,-400203.0,,
AZ,1990-06-01,,,1990,6,3195174.8396006445,0.04,0.0,93.8,,,,37825.33333333333,76047.16666666667,512780.0,912983.0,-38221.83333333334,-400203.0,,
AZ,1990-07-01,,,1990,7,3748697.8331046286,1.06,0.0,93.6,,,,38643.05555555556,76052.95833333334,512780.0,912983.0,-37409.90277777779,-400203.0,,
AZ,1990-08-01,,,1990,8,3802107.6928347833,2.7,0.0,90.8,,,,39460.777777777774,76058.75,512780.0,912983.0,-36597.97222222223,-400203.0,,
AZ,1990-09-01,,,1990,9,3413319.756497933,1.11,0.0,87.5,,,,40278.5,76064.54166666667,512780.0,912983.0,-35786.04166666667,-400203.0,,
AZ,1990-10-01,,,1990,10,3182792.904606191,0.04,0.0,78.7,,,,41096.22222222222,76070.33333333334,512780.0,912983.0,-34974.111111111124,-400203.0,,
AZ,1990-11-01,,,1990,11,2794514.6427362114,0.15,0.0,65.9,,,,41913.944444444445,76076.125,512780.0,912983.0,-34162.180555555555,-400203.0,,
AZ,1990-12-01,,,1990,12,2987135.328823749,0.46,0.4,53.6,,,,42731.66666666666,76081.91666666667,512780.0,912983.0,-33350.25000000001,-400203.0,,
CA,1990-01-01,,,1990,1,3403295.4382277387,3.06,0.0,49.9,,,,256069.5625,604418.2083333333,2988649.0,7120826.0,-348348.64583333326,-4132177.0,,
CA,1990-02-01,,,1990,2,2982542.5874377065,2.28,0.0,49.2,,,,255431.7916666667,603416.75,2988649.0,7120826.0,-347984.9583333333,-4132177.0,,
CA,1990-03-01,,,1990,3,2972827.3139645257,0.79,0.0,53.3,,,,254794.0208333333,602415.2916666666,2988649.0,7120826.0,-347621.27083333326,-4132177.0,,
CA,1990-04-01,,,1990,4,2607974.3534261705,0.2,0.0,58.5,,,,254156.25,601413.8333333333,2988649.0,7120826.0,-347257.58333333326,-4132177.0,,
CA,1990-05-01,,,1990,5,2598851.0152915805,1.55,0.0,59.0,,,,253518.4791666667,600412.375,2988649.0,7120826.0,-346893.8958333333,-4132177.0,,
CA,1990-06-01,,,1990,6,3209322.5705457507,0.0,0.0,62.3,,,,252880.7083333333,599410.9166666666,2988649.0,7120826.0,-346530.20833333326,-4132177.0,,
CA,1990-07-01,,,1990,7,4973745.733299406,0.01,0.0,64.4,,,,252242.9375,598409.4583333333,2988649.0,7120826.0,-346166.52083333326,-4132177.0,,
CA,1990-08-01,,,1990,8,5297279.132424984,0.0,0.0,66.3,,,,251605.1666666667,597408.0,2988649.0,7120826.0,-345802.8333333333,-4132177.0,,
CA,1990-09-01,,,1990,9,4653677.217385631,0.2,0.0,66.3,,,,250967.3958333333,596406.5416666666,2988649.0,7120826.0,-345439.14583333326,-4132177.0,,
CA,1990-10-01,,,1990,10,4251239.177122841,0.19,0.0,63.1,,,,250329.625,595405.0833333333,2988649.0,7120826.0,-345075.45833333326,-4132177.0,,
CA,1990-11-01,,,1990,11,3568895.7727930318,0.28,0.0,56.0,,,,249691.8541666667,594403.625,2988649.0,7120826.0,-344711.7708333333,-4132177.0,,
CA,1990-12-01,,,1990,12,3793719.852990632,1.79,0.0,46.4,,,,249054.0833333333,593402.1666666666,2988649.0,7120826.0,-344348.08333333326,-4132177.0,,
CO,1990-01-01,,,1990,1,3077141.990608198,0.53,8.7,33.5,,,,67830.59722222222,74638.75,865449.0,933527.0,-6808.152777777781,-68078.0,,
CO,1990-02-01,,,1990,2,2717923.104477629,0.59,9.3,31.7,,,,68220.61111111111,74925.58333333334,865449.0,933527.0,-6704.9722222222335,-68078.0,,
CO,1990-03-01,,,1990,3,2693184.1213894184,1.77,9.7,38.8,,,,68610.625,75212.41666666667,865449.0,933527.0,-6601.791666666672,-68078.0,,
CO,1990-04-01,,,1990,4,2437704.8069708906,2.04,11.3,47.1,,,,69000.63888888889,75499.25,865449.0,933527.0,-6498.6111111111095,-68078.0,,
CO,1990-05-01,,,1990,5,2607299.126491695,3.91,4.2,53.8,,,,69390.65277777778,75786.08333333334,865449.0,933527.0,-6395.430555555562,-68078.0,,
CO,1990-06-01,,,1990,6,2879836.0470687216,0.13,0.0,69.5,,,,69780.66666666666,76072.91666666667,865449.0,933527.0,-6292.250000000015,-68078.0,,
CO,1990-07-01,,,1990,7,3326814.833725417,5.13,0.0,67.9,,,,70170.68055555555,76359.75,865449.0,933527.0,-6189.0694444444525,-68078.0,,
CO,1990-08-01,,,1990,8,3282325.6298516253,1.45,0.0,67.9,,,,70560.69444444444,76646.58333333334,865449.0,933527.0,-6085.888888888905,-68078.0,,
CO,1990-09-01,,,1990,9,2813478.232638169,1.5,0.0,64.5,,,,70950.70833333333,76933.41666666667,865449.0,933527.0,-5982.708333333343,-68078.0,,
CO,1990-10-01,,,1990,10,2708185.617172875,1.46,8.2,49.5,,,,71340.72222222222,77220.25,865449.0,933527.0,-5879.527777777781,-68078.0,,
CO,1990-11-01,,,1990,11,2763109.6766963745,0.3,2.7,42.7,,,,71730.73611111111,77507.08333333334,865449.0,933527.0,-5776.3472222222335,-68078.0,,
CO,1990-12-01,,,1990,12,3075921.84452898,0.28,4.1,24.2,,,,72120.75,77793.91666666667,865449.0,933527.0,-5673.166666666672,-68078.0,,
CT,1990-01-01,,,1990,1,1190672.30565995,4.01,5.2,36.8,,,,19997.979166666664,65751.14583333333,239995.0,772489.0,-45753.16666666666,-532494.0,,
CT,1990-02-01,,,1990,2,980818.6921789334,1.94,9.3,35.0,,,,19998.125,65625.95833333333,239995.0,772489.0,-45627.83333333333,-532494.0,,
CT,1990-03-01,,,1990,3,966221.1798837328,2.1,4.4,40.1,,,,19998.27083333333,65500.77083333333,239995.0,772489.0,-45502.5,-532494.0,,
CT,1990-04-01,,,1990,4,822190.6241967077,4.88,1.7,49.2,,,,19998.416666666664,65375.58333333333,239995.0,772489.0,-45377.16666666666,-532494.0,,
CT,1990-05-01,,,1990,5,859327.7815112472,6.9,0.0,56.9,,,,19998.5625,65250.39583333333,239995.0,772489.0,-45251.83333333333,-532494.0,,
CT,1990-06-01,,,1990,6,1019849.183171278,1.91,0.0,69.0,,,,19998.70833333333,65125.20833333333,239995.0,772489.0,-45126.5,-532494.0,,
CT,1990-07-01,,,1990,7,1226461.8503404125,2.84,0.0,73.9,,,,19998.854166666664,65000.020833333336,239995.0,772489.0,-45001.16666666667,-532494.0,,
CT,1990-08-01,,,1990,8,1220112.6224514844,6.47,0.0,73.8,,,,19999.0,64874.833333333336,239995.0,772489.0,-44875.833333333336,-532494.0,,
CT,1990-09-01,,,1990,9,971616.2713092342,1.75,0.0,65.6,,,,19999.14583333333,64749.645833333336,239995.0,772489.0,-44750.5,-532494.0,,
CT,1990-10-01,,,1990,10,880276.938235238,5.72,0.0,59.6,,,,19999.291666666664,64624.458333333336,239995.0,772489.0,-44625.16666666667,-532494.0,,
CT,1990-11-01,,,1990,11,912454.9875885692,1.9,0.0,46.6,,,,19999.4375,64499.270833333336,239995.0,772489.0,-44499.833333333336,-532494.0,,
CT,1990-12-01,,,1990,12,1107457.2267232118,3.53,7.1,40.0,,,,19999.58333333333,64374.083333333336,239995.0,772489.0,-44374.5,-532494.0,,
DC,1990-01-01,,,1990,1,14101.107481588346,,,,,,,,,,,,,,
DC,1990-02-01,,,1990,2,8147.038060927241,,,,,,,,,,,,,,
DC,1990-03-01,,,1990,3,8762.756958823891,,,,,,,,,,,,,,
DC,1990-04-01,,,1990,4,6172.892304370361,,,,,,,,,,,,,,
DC,1990-05-01,,,1990,5,17599.533653987808,,,,,,,,,,,,,,
DC,1990-06-01,,,1990,6,95070.62466925888,,,,,,,,,,,,,,
DC,1990-07-01,,,1990,7,145213.0677924478,,,,,,,,,,,,,,
DC,1990-08-01,,,1990,8,113396.80503886928,,,,,,,,,,,,,,
DC,1990-09-01,,,1990,9,11417.33135208266,,,,,,,,,,,,,,
DC,1990-10-01,,,1990,10,4307.325853150131,,,,,,,,,,,,,,
DC,1990-11-01,,,1990,11,10492.933659244847,,,,,,,,,,,,,,
DC,1990-12-01,,,1990,12,15195.544995248689,,,,,,,,,,,,,,
DE,1990-01-01,,,1990,1,721281.6697068069,4.0,0.2,43.0,,,,203.59027777777777,19732.909722222223,1652.0,251171.0,-19529.319444444445,-249519.0,,
DE,1990-02-01,,,1990,2,597491.380509518,1.39,0.0,44.7,,,,197.59722222222223,19841.819444444445,1652.0,251171.0,-19644.222222222223,-249519.0,,
DE,1990-03-01,,,1990,3,656022.1054431887,3.94,0.0,48.6,,,,191.60416666666669,19950.729166666668,1652.0,251171.0,-19759.125,-249519.0,,
DE,1990-04-01,,,1990,4,607304.9349856918,4.28,0.0,55.6,,,,185.61111111111111,20059.63888888889,1652.0,251171.0,-19874.02777777778,-249519.0,,
DE,1990-05-01,,,1990,5,588207.552287233,7.81,0.0,64.0,,,,179.61805555555554,20168.548611111117,1652.0,251171.0,-19988.93055555556,-249519.0,,
DE,1990-06-01,,,1990,6,760789.6512743122,2.18,0.0,72.4,,,,173.625,20277.458333333336,1652.0,251171.0,-20103.833333333336,-249519.0,,
DE,1990-07-01,,,1990,7,1031065.1495740728,4.06,0.0,79.2,,,,167.63194444444446,20386.368055555555,1652.0,251171.0,-20218.73611111111,-249519.0,,
DE,1990-08-01,,,1990,8,930643.0425873256,3.25,0.0,76.6,,,,161.63888888888889,20495.277777777777,1652.0,251171.0,-20333.638888888887,-249519.0,,
DE,1990-09-01,,,1990,9,657532.0004471288,2.3,0.0,68.9,,,,155.64583333333331,20604.1875,1652.0,251171.0,-20448.541666666668,-249519.0,,
DE,1990-10-01,,,1990,10,584085.7363639931,3.14,0.0,63.4,,,,149.65277777777777,20713.097222222223,1652.0,251171.0,-20563.444444444445,-249519.0,,
DE,1990-11-01,,,1990,11,518092.6809579079,1.2,0.0,51.5,,,,143.65972222222223,20822.006944444445,1652.0,251171.0,-20678.347222222223,-249519.0,,
DE,1990-12-01,,,1990,12,608336.3315428202,4.13,5.0,44.0,,,,137.66666666666666,20930.916666666668,1652.0,251171.0,-20793.25,-249519.0,,
FL,1990-01-01,,,1990,1,7284877.468892859,1.84,0.0,58.3,,,,42087.61805555556,262857.9166666667,472727.0,3275218.0,-220770.29861111112,-2802491.0,,
FL,1990-02-01,,,1990,2,6291119.977047881,4.08,0.0,63.0,,,,41842.73611111111,263774.0,472727.0,3275218.0,-221931.26388888888,-2802491.0,,
FL,1990-03-01,,,1990,3,6728038.119353334,1.59,0.0,65.1,,,,41597.85416666666,264690.0833333333,472727.0,3275218.0,-223092.22916666663,-2802491.0,,
FL,1990-04-01,,,1990,4,7065686.817446773,1.34,0.0,66.8,,,,41352.97222222222,265606.1666666667,472727.0,3275218.0,-224253.19444444447,-2802491.0,,
FL,1990-05-01,,,1990,5,8477160.105863439,0.18,0.0,75.3,,,,41108.090277777774,266522.25,472727.0,3275218.0,-225414.15972222225,-2802491.0,,
FL,1990-06-01,,,1990,6,9123375.567205211,1.59,0.0,80.9,,,,40863.20833333333,267438.3333333333,472727.0,3275218.0,-226575.125,-2802491.0,,
FL,1990-07-01,,,1990,7,9827752.11518132,6.53,0.0,83.4,,,,40618.32638888889,268354.4166666667,472727.0,3275218.0,-227736.0902777778,-2802491.0,,
FL,1990-08-01,,,1990,8,9962964.826942809,3.81,0.0,82.7,,,,40373.444444444445,269270.5,472727.0,3275218.0,-228897.0555555556,-2802491.0,,
FL,1990-09-01,,,1990,9,8958839.771867696,2.6,0.0,79.5,,,,40128.5625,270186.5833333333,472727.0,3275218.0,-230058.0208333333,-2802491.0,,
FL,1990-10-01,,,1990,10,8121230.601405696,4.55,0.0,72.7,,,,39883.68055555556,271102.6666666666,472727.0,3275218.0,-231218.98611111107,-2802491.0,,
FL,1990-11-01,,,1990,11,6650920.913360648,1.17,0.0,63.4,,,,39638.79861111111,272018.75,472727.0,3275218.0,-232379.95138888888,-2802491.0,,
FL,1990-12-01,,,1990,12,6998316.078732323,1.94,0.0,60.8,,,,39393.91666666666,272934.8333333333,472727.0,3275218.0,-233540.91666666663,-2802491.0,,
GA,1990-01-01,,,1990,1,5576678.65007715,8.46,0.0,49.8,,,,38001.89583333333,180264.59722222225,465821.0,2188433.0,-142262.70138888888,-1722612.0,,
GA,1990-02-01,,,1990,2,4795248.568610521,9.75,0.0,54.3,,,,38076.125,180455.94444444444,465821.0,2188433.0,-142379.81944444444,-1722612.0,,
GA,1990-03-01,,,1990,3,4977971.3365093935,8.37,0.0,57.6,,,,38150.35416666666,180647.29166666663,465821.0,2188433.0,-142496.9375,-1722612.0,,
GA,1990-04-01,,,1990,4,4884251.402264053,2.76,0.0,61.9,,,,38224.58333333333,180838.63888888888,465821.0,2188433.0,-142614.05555555556,-1722612.0,,
GA,1990-05-01,,,1990,5,5942561.77448677,5.26,0.0,70.3,,,,38298.8125,181029.9861111111,465821.0,2188433.0,-142731.1736111111,-1722612.0,,
GA,1990-06-01,,,1990,6,6774263.2387494845,1.39,0.0,78.5,,,,38373.04166666666,181221.3333333333,465821.0,2188433.0,-142848.29166666666,-1722612.0,,
GA,1990-07-01,,,1990,7,7510896.8142105,3.5,0.0,80.5,,,,38447.27083333333,181412.6805555556,465821.0,2188433.0,-142965.40972222225,-1722612.0,,
GA,1990-08-01,,,1990,8,7510007.921402867,4.64,0.0,80.5,,,,38521.5,181604.02777777775,465821.0,2188433.0,-143082.52777777778,-1722612.0,,
GA,1990-09-01,,,1990,9,6241336.117852822,3.01,0.0,75.7,,,,38595.72916666666,181795.375,465821.0,2188433.0,-143199.64583333334,-1722612.0,,
GA,1990-10-01,,,1990,10,5116161.4232891565,6.12,0.0,64.4,,,,38669.95833333333,181986.72222222225,465821.0,2188433.0,-143316.76388888888,-1722612.0,,
GA,1990-11-01,,,1990,11,4584976.927312588,1.27,0.0,56.5,,,,38744.1875,182178.06944444444,465821.0,2188433.0,-143433.88194444444,-1722612.0,,
GA,1990-12-01,,,1990,12,5292095.809334687,3.05,0.0,49.1,,,,38818.41666666666,182369.41666666663,465821.0,2188433.0,-143551.0,-1722612.0,,
IA,1990-01-01,,,1990,1,2668115.874237257,1.43,11.3,31.7,,,,10672.923611111111,76740.72222222222,121971.0,941873.0,-66067.79861111111,-819902.0,,
IA,1990-02-01,,,1990,2,2335839.0716709555,0.89,7.4,31.1,,,,10626.680555555557,76899.69444444444,121971.0,941873.0,-66273.01388888888,-819902.0,,
IA,1990-03-01,,,1990,3,2216535.235888936,5.83,0.1,42.0,,,,10580.4375,77058.66666666667,121971.0,941873.0,-66478.22916666667,-819902.0,,
IA,1990-04-01,,,1990,4,1904517.4511306288,3.43,0.0,50.0,,,,10534.194444444443,77217.63888888889,121971.0,941873.0,-66683.44444444445,-819902.0,,
IA,1990-05-01,,,1990,5,2068320.231409956,4.36,0.0,57.8,,,,10487.951388888889,77376.61111111111,121971.0,941873.0,-66888.65972222222,-819902.0,,
IA,1990-06-01,,,1990,6,2541265.354658526,9.52,0.0,71.6,,,,10441.708333333332,77535.58333333334,121971.0,941873.0,-67093.87500000001,-819902.0,,
IA,1990-07-01,,,1990,7,3082028.407938038,8.75,0.0,73.8,,,,10395.465277777776,77694.55555555556,121971.0,941873.0,-67299.09027777778,-819902.0,,
IA,1990-08-01,,,1990,8,3004090.495885491,1.83,0.0,74.4,,,,10349.222222222224,77853.52777777778,121971.0,941873.0,-67504.30555555556,-819902.0,,
IA,1990-09-01,,,1990,9,2424556.4087664457,1.4,0.0,68.1,,,,10302.979166666666,78012.5,121971.0,941873.0,-67709.52083333333,-819902.0,,
IA,1990-10-01,,,1990,10,2219198.11429658,1.8,0.0,52.3,,,,10256.736111111111,78171.47222222222,121971.0,941873.0,-67914.73611111111,-819902.0,,
IA,1990-11-01,,,1990,11,2174379.3641794506,2.52,1.3,43.7,,,,10210.493055555557,78330.44444444445,121971.0,941873.0,-68119.9513888889,-819902.0,,
IA,1990-12-01,,,1990,12,2543141.2402877333,2.19,12.2,22.8,,,,10164.25,78489.41666666667,121971.0,941873.0,-68325.16666666667,-819902.0,,
ID,1990-01-01,,,1990,1,69.80333446117606,1.46,0.0,34.6,,,,4895.791666666667,31867.20138888889,55796.0,340787.0,-26971.409722222223,-284991.0,,
ID,1990-02-01,,,1990,2,57.27987742053669,0.97,0.0,33.9,,,,4873.416666666667,31551.902777777777,55796.0,340787.0,-26678.48611111111,-284991.0,,
ID,1990-03-01,,,1990,3,49.79582721810815,1.08,0.0,44.6,,,,4851.041666666667,31236.604166666668,55796.0,340787.0,-26385.5625,-284991.0,,
ID,1990-04-01,,,1990,4,31.458083626098503,2.43,0.0,55.6,,,,4828.666666666667,30921.305555555555,55796.0,340787.0,-26092.638888888887,-284991.0,,
ID,1990-05-01,,,1990,5,25.4809683387269,3.56,0.0,56.1,,,,4806.291666666667,30606.006944444445,55796.0,340787.0,-25799.715277777777,-284991.0,,
ID,1990-06-01,,,1990,6,39.40174774320301,0.39,0.0,65.8,,,,4783.916666666667,30290.708333333336,55796.0,340787.0,-25506.791666666668,-284991.0,,
ID,1990-07-01,,,1990,7,88.09393867221033,0.23,0.0,75.4,,,,4761.541666666667,29975.409722222223,55796.0,340787.0,-25213.868055555555,-284991.0,,
ID,1990-08-01,,,1990,8,100.98481663552812,0.97,0.0,73.1,,,,4739.166666666667,29660.111111111117,55796.0,340787.0,-24920.944444444445,-284991.0,,
ID,1990-09-01,,,1990,9,81.69711560854738,0.02,0.0,69.6,,,,4716.791666666667,29344.8125,55796.0,340787.0,-24628.02083333333,-284991.0,,
ID,1990-10-01,,,1990,10,60.42267762475797,0.75,0.0,50.3,,,,4694.416666666667,29029.51388888889,55796.0,340787.0,-24335.097222222223,-284991.0,,
ID,1990-11-01,,,1990,11,69.63513892018113,1.16,0.0,41.0,,,,4672.041666666667,28714.215277777777,55796.0,340787.0,-24042.17361111111,-284991.0,,
ID,1990-12-01,,,1990,12,78.82420373092563,0.74,0.0,18.9,,,,4649.666666666667,28398.916666666668,55796.0,340787.0,-23749.25,-284991.0,,
IL,1990-01-01,,,1990,1,5735288.253660711,2.48,0.0,33.5,,,,198331.6666666667,295204.0555555556,2343493.0,3611525.0,-96872.38888888888,-1268032.0,,
IL,1990-02-01,,,1990,2,5035921.888437675,2.69,0.0,32.1,,,,198055.25,295727.3611111111,2343493.0,3611525.0,-97672.11111111112,-1268032.0,,
IL,1990-03-01,,,1990,3,4889635.649029618,3.23,0.0,41.9,,,,197778.8333333333,296250.6666666667,2343493.0,3611525.0,-98471.83333333334,-1268032.0,,
IL,1990-04-01,,,1990,4,4275048.843649448,1.53,0.0,49.2,,,,197502.4166666667,296773.97222222225,2343493.0,3611525.0,-99271.55555555556,-1268032.0,,
IL,1990-05-01,,,1990,5,4545895.248219919,7.15,0.0,57.1,,,,197226.0,297297.2777777778,2343493.0,3611525.0,-100071.2777777778,-1268032.0,,
IL,1990-06-01,,,1990,6,5604736.223392615,4.94,0.0,70.1,,,,196949.5833333333,297820.5833333334,2343493.0,3611525.0,-100871.00000000004,-1268032.0,,
IL,1990-07-01,,,1990,7,6574043.71963602,3.38,0.0,72.3,,,,196673.1666666667,298343.8888888889,2343493.0,3611525.0,-101670.7222222222,-1268032.0,,
IL,1990-08-01,,,1990,8,6426120.732931229,6.23,0.0,71.4,,,,196396.75,298867.19444444444,2343493.0,3611525.0,-102470.44444444444,-1268032.0,,
IL,1990-09-01,,,1990,9,5291175.18820022,1.52,0.0,67.0,,,,196120.3333333333,299390.5,2343493.0,3611525.0,-103270.16666666666,-1268032.0,,
IL,1990-10-01,,,1990,10,4917366.717520684,4.72,0.0,51.5,,,,195843.9166666667,299913.8055555556,2343493.0,3611525.0,-104069.88888888888,-1268032.0,,
IL,1990-11-01,,,1990,11,4891531.58687408,6.13,0.0,44.7,,,,195567.5,300437.1111111111,2343493.0,3611525.0,-104869.61111111112,-1268032.0,,
IL,1990-12-01,,,1990,12,5439423.438697763,2.6,0.0,29.1,,,,195291.0833333333,300960.4166666667,2343493.0,3611525.0,-105669.33333333334,-1268032.0,,
IN,1990-01-01,,,1990,1,9811760.316722004,2.09,2.6,38.6,,,,69696.11111111111,205311.29861111112,872129.0,2486534.0,-135615.1875,-1614405.0,,
IN,1990-02-01,,,1990,2,8589186.189663665,5.08,0.0,39.0,,,,69967.13888888889,205484.0138888889,872129.0,2486534.0,-135516.875,-1614405.0,,
IN,1990-03-01,,,1990,3,8422783.547068577,2.06,5.0,45.6,,,,70238.16666666666,205656.7291666667,872129.0,2486534.0,-135418.56250000003,-1614405.0,,
IN,1990-04-01,,,1990,4,7632692.397178989,2.91,0.0,51.7,,,,70509.19444444444,205829.44444444444,872129.0,2486534.0,-135320.25,-1614405.0,,
IN,1990-05-01,,,1990,5,8130982.357207737,8.5,0.0,59.9,,,,70780.22222222222,206002.15972222225,872129.0,2486534.0,-135221.9375,-1614405.0,,
IN,1990-06-01,,,1990,6,9243659.095845535,3.22,0.0,71.4,,,,71051.25,206174.875,872129.0,2486534.0,-135123.625,-1614405.0,,
IN,1990-07-01,,,1990,7,10318604.472941153,4.19,0.0,74.5,,,,71322.27777777778,206347.59027777775,872129.0,2486534.0,-135025.3125,-1614405.0,,
IN,1990-08-01,,,1990,8,10238196.096320575,3.47,0.0,72.3,,,,71593.30555555556,206520.3055555556,872129.0,2486534.0,-134927.0,-1614405.0,,
IN,1990-09-01,,,1990,9,8628064.6040837,3.75,0.0,68.4,,,,71864.33333333334,206693.0208333333,872129.0,2486534.0,-134828.68749999997,-1614405.0,,
IN,1990-10-01,,,1990,10,8191562.825507216,4.06,0.0,54.1,,,,72135.36111111111,206865.7361111111,872129.0,2486534.0,-134730.375,-1614405.0,,
IN,1990-11-01,,,1990,11,8259961.403611844,2.7,0.0,49.9,,,,72406.38888888889,207038.45138888888,872129.0,2486534.0,-134632.0625,-1614405.0,,
IN,1990-12-01,,,1990,12,9310811.945528992,7.44,0.4,36.9,,,,72677.41666666667,207211.16666666663,872129.0,2486534.0,-134533.75,-1614405.0,,
KS,1990-01-01,,,1990,1,2668886.520072373,1.73,0.3,39.5,,,,92127.61805555556,85632.8125,1060601.0,1074330.0,6494.805555555562,-13729.0,,
KS,1990-02-01,,,1990,2,2257740.8828746825,2.19,7.0,38.7,,,,91787.23611111112,85986.875,1060601.0,1074330.0,5800.3611111111095,-13729.0,,
KS,1990-03-01,,,1990,3,2127600.0025599934,2.68,0.7,46.8,,,,91446.85416666669,86340.9375,1060601.0,1074330.0,5105.916666666672,-13729.0,,
