state,area
AL,52423
AK,656425
AZ,114006
AR,53182
CA,163707
CO,104100
CT,5544
DE,1954
FL,65758
GA,59441
HI,10932
ID,83574
IL,57918
IN,36420
IA,56276
KS,82282
KY,40411
LA,51843
ME,35387
MD,12407
MA,10555
MI,96810
MN,86943
MS,48434
MO,69709
MT,147046
NE,77358
NV,110567
NH,9351
NJ,8722
NM,121593
NY,54475
NC,53821
ND,70704
OH,44828
OK,69903
OR,98386
PA,46058
RI,1545
SC,32007
SD,77121
TN,42146
TX,268601
UT,84904
VT,9615
VA,42769
WA,71303
WV,24231
WI,65503
WY,97818
,68
,3515
