,year,month,state,monthly_num_plants,total_facility_age,total_weighted_facility_age,date,yearly_num_plants
117,1997,3,MI,24,168,45533321.25,1997-03,24
118,1997,3,MN,12,84,45308839.5,1997-03,12
119,1997,3,MO,17,351,111787263.0,1997-03,18
120,1997,3,MS,6,90,31678107.0,1997-03,9
121,1997,3,MT,3,9,4413165.75,1997-03,3
122,1997,3,NC,15,45,11281335.0,1997-03,15
123,1997,3,ND,7,21,6878049.75,1997-03,7
124,1997,3,NE,7,21,4551037.5,1997-03,9
125,1997,3,NH,3,57,10367123.25,1997-03,3
126,1997,3,NJ,9,51,4920243.0,1997-03,11
127,1997,3,NM,7,21,8145735.0,1997-03,7
128,1997,3,NV,5,15,4139521.5,1997-03,6
129,1997,3,NY,29,243,39448488.75,1997-03,30
130,1997,3,OH,23,453,254919401.25,1997-03,24
131,1997,3,OK,13,39,9036421.5,1997-03,12
132,1997,3,OR,1,3,0.0,1997-03,3
133,1997,3,PA,25,357,154103185.5,1997-03,24
134,1997,3,RI,1,3,621379.5,1997-03,1
135,1997,3,SC,12,36,6016839.75,1997-03,13
136,1997,3,SD,3,9,787087.5,1997-03,2
137,1997,3,TN,7,117,95584456.5,1997-03,7
138,1997,3,TX,79,237,50104641.75,1997-03,82
139,1997,3,UT,5,15,8276367.0,1997-03,5
140,1997,3,VA,9,27,7998375.0,1997-03,10
141,1997,3,VT,1,3,8217.0,1997-03,1
142,1997,3,WA,1,3,1942086.75,1997-03,2
143,1997,3,WI,20,276,52570603.5,1997-03,22
144,1997,3,WV,12,216,133190402.25,1997-03,13
145,1997,3,WY,6,66,46805955.0,1997-03,6
146,1997,4,AL,11,128,64757477.0,1997-04,10
147,1997,4,AR,6,24,8065082.0,1997-04,6
148,1997,4,AZ,9,36,9618435.0,1997-04,9
149,1997,4,CA,25,100,10443533.0,1997-04,24
150,1997,4,CO,14,56,10494560.56,1997-04,14
151,1997,4,CT,6,24,3342581.0,1997-04,6
152,1997,4,DE,4,16,1988287.0,1997-04,4
153,1997,4,FL,46,256,67271947.0,1997-04,46
154,1997,4,GA,14,308,151053925.0,1997-04,13
155,1997,4,IA,20,200,25982695.0,1997-04,21
156,1997,4,ID,1,4,648.0,1997-04,1
157,1997,4,IL,25,388,96635077.0,1997-04,26
158,1997,4,IN,23,428,172428299.0,1997-04,23
159,1997,4,KS,14,104,18481872.0,1997-04,13
160,1997,4,KY,21,372,162871244.0,1997-04,20
161,1997,4,LA,18,72,14151473.0,1997-04,20
162,1997,4,MA,10,100,31071065.0,1997-04,10
163,1997,4,MD,11,140,30546968.0,1997-04,11
164,1997,4,ME,1,4,212263.0,1997-04,2
165,1997,4,MI,22,184,45882341.0,1997-04,24
166,1997,4,MN,12,96,34314581.0,1997-04,12
167,1997,4,MO,16,364,121032989.0,1997-04,18
168,1997,4,MS,8,104,26675337.0,1997-04,9
169,1997,4,MT,3,12,3998027.0,1997-04,3
170,1997,4,NC,15,60,18290888.0,1997-04,15
171,1997,4,ND,6,24,6734444.0,1997-04,7
172,1997,4,NE,8,32,6437883.0,1997-04,9
173,1997,4,NH,3,60,7332825.0,1997-04,3
174,1997,4,NJ,10,64,5483048.0,1997-04,11
175,1997,4,NM,7,28,11230569.0,1997-04,7
176,1997,4,NV,8,32,4190029.0,1997-04,6
177,1997,4,NY,29,272,35650146.0,1997-04,30
178,1997,4,OH,22,472,244341306.0,1997-04,24
179,1997,4,OK,15,60,12062848.0,1997-04,12
180,1997,4,OR,1,4,0.0,1997-04,3
181,1997,4,PA,24,378,154926002.0,1997-04,24
182,1997,4,RI,1,4,706514.0,1997-04,1
183,1997,4,SC,11,44,8679212.0,1997-04,13
184,1997,4,SD,3,12,1228360.0,1997-04,2
185,1997,4,TN,7,124,101251296.0,1997-04,7
186,1997,4,TX,83,329,65321052.0,1997-04,82
187,1997,4,UT,6,36,8962106.0,1997-04,5
188,1997,4,VA,9,36,10470194.0,1997-04,10
189,1997,4,VT,1,4,55126.0,1997-04,1
190,1997,4,WA,1,4,2609248.0,1997-04,2
191,1997,4,WI,20,320,55844165.0,1997-04,22
192,1997,4,WV,13,256,138786645.0,1997-04,13
193,1997,4,WY,6,72,42240269.0,1997-04,6
194,1997,5,AL,11,139,81153859.75,1997-05,10
195,1997,5,AR,6,30,11561546.25,1997-05,6
196,1997,5,AZ,11,55,16709633.75,1997-05,9
197,1997,5,CA,27,135,18528238.75,1997-05,24
198,1997,5,CO,14,70,14566526.75,1997-05,14
199,1997,5,CT,7,35,4286013.75,1997-05,6
200,1997,5,DE,4,20,2196068.75,1997-05,4
201,1997,5,FL,45,297,82500700.25,1997-05,46
202,1997,5,GA,14,322,149636982.0,1997-05,13
203,1997,5,IA,19,215,21719068.0,1997-05,21
204,1997,5,ID,1,5,10760.0,1997-05,1
205,1997,5,IL,24,408,111374571.5,1997-05,26
206,1997,5,IN,23,451,182830621.5,1997-05,23
207,1997,5,KS,13,113,12331147.25,1997-05,13
208,1997,5,KY,22,398,157099133.0,1997-05,20
209,1997,5,LA,18,90,22890898.75,1997-05,20
210,1997,5,MA,10,110,36105775.5,1997-05,10
211,1997,5,MD,10,146,33187310.25,1997-05,11
212,1997,5,ME,1,5,201972.5,1997-05,2
213,1997,5,MI,23,211,55739299.25,1997-05,24
214,1997,5,MN,12,108,34973764.5,1997-05,12
215,1997,5,MO,17,385,135577234.25,1997-05,18
216,1997,5,MS,9,117,31423092.75,1997-05,9
217,1997,5,MT,3,15,4494251.25,1997-05,3
218,1997,5,NC,15,75,22501472.5,1997-05,15
219,1997,5,ND,6,30,10295277.5,1997-05,7
220,1997,5,NE,8,40,7891783.75,1997-05,9
221,1997,5,NH,3,63,13264649.0,1997-05,3
222,1997,5,NJ,9,69,4169617.5,1997-05,11
223,1997,5,NM,7,35,13259245.0,1997-05,7
224,1997,5,NV,8,40,8007442.5,1997-05,6
225,1997,5,NY,30,306,46520553.5,1997-05,30
226,1997,5,OH,22,494,258245979.75,1997-05,24
227,1997,5,OK,16,80,17138577.5,1997-05,12
228,1997,5,OR,1,5,0.0,1997-05,3
229,1997,5,PA,23,397,141683616.75,1997-05,24
230,1997,5,RI,1,5,1155052.5,1997-05,1
231,1997,5,SC,13,65,11640428.75,1997-05,13
232,1997,5,SD,3,15,1528030.0,1997-05,2
233,1997,5,TN,7,131,99610300.75,1997-05,7
234,1997,5,TX,83,412,96656784.25,1997-05,82
235,1997,5,UT,5,25,13376670.0,1997-05,5
236,1997,5,VA,9,45,11511772.5,1997-05,10
237,1997,5,VT,1,5,42796.25,1997-05,1
238,1997,5,WA,1,5,2589370.0,1997-05,2
239,1997,5,WI,21,345,61733634.25,1997-05,22
240,1997,5,WV,12,240,132185054.25,1997-05,13
241,1997,5,WY,6,78,39490146.5,1997-05,6
242,1997,6,AL,12,156,83961699.0,1997-06,10
243,1997,6,AR,9,54,15902889.0,1997-06,6
244,1997,6,AZ,11,66,19124352.0,1997-06,9
245,1997,6,CA,25,150,15436962.0,1997-06,24
246,1997,6,CO,14,84,16463347.5,1997-06,14
247,1997,6,CT,7,42,7506250.5,1997-06,6
248,1997,6,DC,1,6,135763.5,1997-06,0
249,1997,6,DE,5,30,2971663.5,1997-06,4
250,1997,6,FL,47,354,103866088.5,1997-06,46
251,1997,6,GA,13,330,169774984.5,1997-06,13
252,1997,6,IA,21,246,29558700.0,1997-06,21
253,1997,6,ID,1,6,0.0,1997-06,1
254,1997,6,IL,26,468,141825436.5,1997-06,26
255,1997,6,IN,23,474,208004830.5,1997-06,23
256,1997,6,KS,18,156,22481938.5,1997-06,13
257,1997,6,KY,21,414,164296011.0,1997-06,20
258,1997,6,LA,21,126,31134381.0,1997-06,20
259,1997,6,MA,10,120,41321650.5,1997-06,10
260,1997,6,MD,12,168,45108699.0,1997-06,11
261,1997,6,ME,1,6,1222308.0,1997-06,2
262,1997,6,MI,23,234,65710786.5,1997-06,24
263,1997,6,MN,12,120,45573354.0,1997-06,12
264,1997,6,MO,18,408,152722737.0,1997-06,18
265,1997,6,MS,10,132,41840790.0,1997-06,9
266,1997,6,MT,2,12,6063835.5,1997-06,3
267,1997,6,NC,15,90,28311705.0,1997-06,15
268,1997,6,ND,7,42,13520125.5,1997-06,7
269,1997,6,NE,8,48,9514071.0,1997-06,9
270,1997,6,NH,3,66,13455489.0,1997-06,3
271,1997,6,NJ,11,90,7578909.0,1997-06,11
272,1997,6,NM,7,42,15917503.5,1997-06,7
273,1997,6,NV,8,48,9020698.5,1997-06,6
274,1997,6,NY,31,366,73886970.0,1997-06,30
275,1997,6,OH,25,576,273426804.0,1997-06,24
276,1997,6,OK,16,96,24184587.0,1997-06,12
277,1997,6,OR,2,12,79084.5,1997-06,3
278,1997,6,PA,25,432,193505721.0,1997-06,24
279,1997,6,RI,1,6,1223215.5,1997-06,1
280,1997,6,SC,13,78,16841602.5,1997-06,13
281,1997,6,SD,3,18,1838728.5,1997-06,2
282,1997,6,TN,7,138,99244573.5,1997-06,7
283,1997,6,TX,84,501,139345836.0,1997-06,82
284,1997,6,UT,6,48,16164102.0,1997-06,5
285,1997,6,VA,9,54,16363669.5,1997-06,10
286,1997,6,VT,1,6,132961.5,1997-06,1
287,1997,6,WA,1,6,1337430.0,1997-06,2
288,1997,6,WI,22,369,77715497.25,1997-06,22
289,1997,6,WV,13,282,149074935.0,1997-06,13
290,1997,6,WY,6,84,50565229.5,1997-06,6
291,1997,7,AL,12,168,115039197.0,1997-07,10
292,1997,7,AR,9,63,22501897.25,1997-07,6
293,1997,7,AZ,11,77,26399912.0,1997-07,9
294,1997,7,CA,27,183,31056207.5,1997-07,24
295,1997,7,CO,14,98,22643348.490000002,1997-07,14
296,1997,7,CT,7,49,9203988.5,1997-07,6
297,1997,7,DC,1,7,282794.75,1997-07,0
298,1997,7,DE,5,35,3877965.0,1997-07,4
299,1997,7,FL,47,401,130489044.25,1997-07,46
300,1997,7,GA,16,364,229174870.25,1997-07,13
301,1997,7,IA,21,267,38563074.25,1997-07,21
302,1997,7,ID,1,7,23163.0,1997-07,1
303,1997,7,IL,26,494,170471026.0,1997-07,26
304,1997,7,IN,23,497,240157443.0,1997-07,23
305,1997,7,KS,18,174,42639747.25,1997-07,13
306,1997,7,KY,21,435,198235914.25,1997-07,20
307,1997,7,LA,21,147,42661433.5,1997-07,20
308,1997,7,MA,10,130,42850394.0,1997-07,10
309,1997,7,MD,12,180,61293531.5,1997-07,11
310,1997,7,ME,1,7,1132022.5,1997-07,2
311,1997,7,MI,24,264,76206433.75,1997-07,24
312,1997,7,MN,14,140,53087062.5,1997-07,12
313,1997,7,MO,18,426,178569048.0,1997-07,18
314,1997,7,MS,10,142,52388310.75,1997-07,9
315,1997,7,MT,3,21,9775510.5,1997-07,3
316,1997,7,NC,15,105,43319087.0,1997-07,15
317,1997,7,ND,7,49,16808958.25,1997-07,7
318,1997,7,NE,9,63,12699755.25,1997-07,9
319,1997,7,NH,3,69,10699945.0,1997-07,3
320,1997,7,NJ,11,101,13092276.5,1997-07,11
321,1997,7,NM,8,50,20154788.25,1997-07,7
322,1997,7,NV,8,56,12276519.5,1997-07,6
323,1997,7,NY,31,397,91020387.75,1997-07,30
324,1997,7,OH,25,601,311933900.25,1997-07,24
325,1997,7,OK,16,112,36651872.25,1997-07,12
326,1997,7,OR,3,21,1387464.75,1997-07,3
327,1997,7,PA,25,457,225531415.75,1997-07,24
328,1997,7,RI,1,7,1300344.5,1997-07,1
329,1997,7,SC,13,91,25324076.75,1997-07,13
330,1997,7,SD,4,28,2325247.75,1997-07,2
331,1997,7,TN,7,145,130283179.0,1997-07,7
332,1997,7,TX,86,599,195448237.25,1997-07,82
333,1997,7,UT,6,54,21792902.5,1997-07,5
334,1997,7,VA,10,64,24278455.25,1997-07,10
335,1997,7,VT,1,7,90412.0,1997-07,1
336,1997,7,WA,1,7,3119291.0,1997-07,2
337,1997,7,WI,22,391,84047293.25,1997-07,22
338,1997,7,WV,13,295,176397263.75,1997-07,13
339,1997,7,WY,6,90,62083188.5,1997-07,6
340,1997,8,AL,12,180,120920906.0,1997-08,10
341,1997,8,AR,9,72,21521824.0,1997-08,6
342,1997,8,AZ,11,88,31441168.0,1997-08,9
343,1997,8,CA,28,218,38246839.5,1997-08,24
344,1997,8,CO,14,112,25597234.08,1997-08,14
345,1997,8,CT,7,56,9685568.0,1997-08,6
346,1997,8,DC,1,8,13356.0,1997-08,0
347,1997,8,DE,5,40,4974450.0,1997-08,4
348,1997,8,FL,46,440,141865000.0,1997-08,46
349,1997,8,GA,16,380,229768740.0,1997-08,13
350,1997,8,IA,21,288,40244478.0,1997-08,21
351,1997,8,ID,1,8,322356.0,1997-08,1
352,1997,8,IL,26,520,153343970.0,1997-08,26
353,1997,8,IN,23,520,236590024.0,1997-08,23
354,1997,8,KS,17,184,52489974.0,1997-08,13
355,1997,8,KY,22,464,194873960.0,1997-08,20
356,1997,8,LA,21,168,44358730.0,1997-08,20
357,1997,8,MA,10,140,44006084.0,1997-08,10
358,1997,8,MD,12,192,58583918.0,1997-08,11
359,1997,8,ME,1,8,1390576.0,1997-08,2
