state,date,monthly_num_plants,yearly_num_plants,total_facility_age,total_weighted_facility_age
DE,2002-07,12,8,516,62999542.8
FL,2002-07,56,55,3293,973795314.79
GA,2002-07,29,22,1535,754657119.36
IA,2002-07,21,21,1527,239462395.66
ID,2002-07,3,3,90,565507.2
IL,2002-07,50,38,2486,827638409.43
IN,2002-07,33,27,2022,932387803.84
KS,2002-07,21,12,1368,299044183.2
KY,2002-07,25,24,1759,729780570.09
LA,2002-07,26,21,1424,374217080.75
MA,2002-07,38,30,1664,186475789.72
MD,2002-07,17,13,1037,293985316.31
ME,2002-07,7,6,241,22341539.08
MI,2002-07,33,30,1860,501363868.78000003
MN,2002-07,19,17,988,285171456.36
MO,2002-07,28,24,1693,623210004.1
MS,2002-07,20,16,899,230464210.79
MT,2002-07,3,3,201,66513264.43
NC,2002-07,20,17,1100,435153038.14
ND,2002-07,7,7,469,178856216.59
NE,2002-07,11,10,695,146940926.73000002
NH,2002-07,6,4,297,38808000.74
NJ,2002-07,48,33,1986,163817129.46
NM,2002-07,9,11,555,208796530.01
NV,2002-07,10,8,571,152536402.89
NY,2002-07,87,73,3942,509079670.43
OH,2002-07,38,28,2303,1109778705.47
OK,2002-07,20,18,1124,367195204.43
OR,2002-07,6,6,216,16263436.6
PA,2002-07,87,81,4164,928827138.13
RI,2002-07,5,6,230,20096043.87
SC,2002-07,17,18,1019,282623705.2
SD,2002-07,4,3,205,22820793.03
TN,2002-07,11,9,644,489350685.76
TX,2002-07,118,97,6250,1641828841.04
UT,2002-07,8,7,428,224677904.04
VA,2002-07,17,17,788,280616331.64
VT,2002-07,1,1,67,1067025.25
WA,2002-07,4,5,145,35915534.31999999
WI,2002-07,28,25,1828,366770071.55
WV,2002-07,18,17,1179,730990468.44
WY,2002-07,7,7,463,302650112.03
AL,2002-08,18,18,966,642333338.32
AR,2002-08,15,10,720,184052845.11
AZ,2002-08,19,18,872,300650020.7
CA,2002-08,54,50,2184,362314729.4
CO,2002-08,21,20,1074,260033087.27
CT,2002-08,25,14,932,59476274.34
DC,2002-08,3,0,96,5170749.72
DE,2002-08,11,8,505,60359440.26
FL,2002-08,56,55,3346,1007619945.24
GA,2002-08,29,22,1564,758654347.39
IA,2002-08,21,21,1548,231760051.16
ID,2002-08,3,3,93,709967.6
IL,2002-08,51,38,2538,804982983.36
IN,2002-08,33,27,2055,958802320.38
KS,2002-08,20,12,1384,292651205.0
KY,2002-08,26,24,1786,728174175.17
LA,2002-08,27,21,1518,399338956.06
MA,2002-08,38,30,1702,194599374.66
MD,2002-08,17,13,1054,296830799.48
ME,2002-08,7,6,248,27411000.17
MI,2002-08,33,30,1893,495046822.15
MN,2002-08,18,17,993,267022117.1
MO,2002-08,27,24,1704,645706301.54
MS,2002-08,21,16,921,226397645.09
MT,2002-08,3,3,204,120946242.96000001
NC,2002-08,20,17,1120,410801325.19
ND,2002-08,7,7,476,175861436.12
NE,2002-08,11,10,706,131909643.74000001
NH,2002-08,6,4,303,42877566.800000004
NJ,2002-08,49,33,2102,188130760.65
NM,2002-08,10,11,566,214589275.12
NV,2002-08,10,8,581,148809755.32
NY,2002-08,89,73,4033,514968499.24
OH,2002-08,39,28,2343,1070859426.41
OK,2002-08,20,18,1144,369821114.25
OR,2002-08,5,6,220,48088560.5
PA,2002-08,87,81,4251,927048105.19
RI,2002-08,5,6,235,20571571.259999998
SC,2002-08,17,18,1036,269488294.5
SD,2002-08,3,3,141,20151942.049999997
TN,2002-08,11,9,655,509794595.72
TX,2002-08,116,97,6232,1715465578.83
UT,2002-08,8,7,436,217885138.48999998
VA,2002-08,18,17,807,290816278.45
VT,2002-08,1,1,68,1804482.0
WA,2002-08,4,5,149,79478805.77
WI,2002-08,28,25,1856,333741972.34000003
WV,2002-08,18,17,1197,701813057.46
WY,2002-08,7,7,470,303907373.96
AL,2002-09,18,18,984,598542388.26
AR,2002-09,12,10,618,175620922.5
AZ,2002-09,19,18,891,293298092.82
CA,2002-09,53,50,2229,325009176.21
CO,2002-09,21,20,1095,235689299.46
CT,2002-09,22,14,903,41679438.93
DC,2002-09,2,0,87,312877.74
DE,2002-09,10,8,492,45704826.51
FL,2002-09,57,55,3408,979748866.2
GA,2002-09,28,22,1575,680631707.64
IA,2002-09,19,21,1431,213620890.74
ID,2002-09,2,3,27,1255302.6
IL,2002-09,49,38,2523,713373182.4
IN,2002-09,32,27,2082,899126088.81
KS,2002-09,20,12,1341,262414347.36
KY,2002-09,25,24,1743,638044137.45
LA,2002-09,27,21,1479,351278176.53000003
MA,2002-09,35,30,1668,176728283.46
MD,2002-09,16,13,1047,244290261.21
ME,2002-09,6,6,195,21890310.9
MI,2002-09,33,30,1890,426526343.43
MN,2002-09,18,17,1011,246936156.69
MO,2002-09,25,24,1623,566269134.6
MS,2002-09,17,16,846,204532691.07
MT,2002-09,3,3,207,109110183.69000001
NC,2002-09,19,17,1071,396957066.87
ND,2002-09,7,7,483,166531422.72
NE,2002-09,11,10,717,117478539.18
NH,2002-09,6,4,309,32106041.43
NJ,2002-09,44,33,1986,125673531.03
NM,2002-09,10,11,576,201684409.74
NV,2002-09,10,8,591,145764651.0
NY,2002-09,87,73,4011,412022689.44
OH,2002-09,35,28,2307,961756311.3
OK,2002-09,20,18,1164,314052924.51
OR,2002-09,6,6,228,52046003.76
PA,2002-09,78,81,3930,785694317.37
RI,2002-09,5,6,240,18901453.35
SC,2002-09,17,18,1053,243641009.46
SD,2002-09,4,3,213,11392328.52
TN,2002-09,11,9,666,424653409.59
TX,2002-09,115,97,6279,1469313671.7
UT,2002-09,8,7,444,226235738.07
VA,2002-09,18,17,825,220180096.86
VT,2002-09,1,1,69,1751616.75
WA,2002-09,5,5,156,82927738.02000001
WI,2002-09,27,25,1878,315355701.93
WV,2002-09,17,17,1200,594836305.74
WY,2002-09,7,7,477,307671129.39
AL,2002-10,18,18,1002,575611741.8
AR,2002-10,13,10,661,166378365.15
AZ,2002-10,19,18,910,282647419.84999996
CA,2002-10,54,50,2292,222279039.95
CO,2002-10,21,20,1116,254923161.01
CT,2002-10,15,14,756,28743070.610000003
DC,2002-10,1,0,19,0.0
DE,2002-10,8,8,452,46251130.03
FL,2002-10,56,55,3458,945715739.03
GA,2002-10,23,22,1334,659361545.49
IA,2002-10,20,21,1520,210369339.4
ID,2002-10,3,3,99,1658018.16
IL,2002-10,38,38,2309,646756789.86
IN,2002-10,29,27,2051,862691699.49
KS,2002-10,14,12,1028,260246685.66
KY,2002-10,24,24,1761,553553994.8
LA,2002-10,29,21,1619,306943682.43
MA,2002-10,30,30,1560,199053153.29
MD,2002-10,13,13,943,182112483.2
ME,2002-10,7,6,262,20723410.96
MI,2002-10,30,30,1875,406961457.3
MN,2002-10,19,17,1045,246532759.05
MO,2002-10,20,24,1484,549500862.08
MS,2002-10,17,16,863,176992117.98
MT,2002-10,3,3,210,108973988.2
NC,2002-10,20,17,1160,398727728.7
ND,2002-10,7,7,490,185510864.0
NE,2002-10,10,10,658,108278049.4
NH,2002-10,4,4,265,37084482.99
NJ,2002-10,32,33,1673,116678293.09
NM,2002-10,10,11,517,196671298.9
NV,2002-10,9,8,591,140043242.94
NY,2002-10,77,73,3788,366753378.27
OH,2002-10,32,28,2213,959477549.99
OK,2002-10,20,18,1184,257779663.64000002
OR,2002-10,6,6,234,56186671.4
PA,2002-10,70,81,3766,787025278.24
RI,2002-10,6,6,246,19609901.939999998
SC,2002-10,16,18,1000,209053430.1
SD,2002-10,4,3,217,4115277.74
TN,2002-10,9,9,642,372229711.8
TX,2002-10,110,97,6044,1264440317.91
UT,2002-10,8,7,452,221724953.18
VA,2002-10,17,17,827,199602758.74
VT,2002-10,1,1,70,1662290.0
WA,2002-10,4,5,148,90013824.02999999
WI,2002-10,25,25,1807,295588829.88
WV,2002-10,15,17,1194,679638551.02
WY,2002-10,7,7,484,310066068.74
AL,2002-11,17,18,1000,544370646.71
AR,2002-11,9,10,456,155739395.99
AZ,2002-11,19,18,929,290225876.3
CA,2002-11,50,50,2212,207970481.25
CO,2002-11,21,20,1137,250688574.26000002
CT,2002-11,15,14,735,32977563.419999998
DC,2002-11,1,0,20,0.0
DE,2002-11,8,8,460,29185612.57
FL,2002-11,54,55,3372,719019791.49
GA,2002-11,22,22,1352,492722412.59
IA,2002-11,20,21,1540,202443976.82
ID,2002-11,2,3,88,1478051.5
IL,2002-11,34,38,2168,595398417.2
IN,2002-11,26,27,1972,871091057.19
KS,2002-11,13,12,971,258041360.87
KY,2002-11,25,24,1793,533955616.52
LA,2002-11,22,21,1229,228086258.86
MA,2002-11,28,30,1532,173697480.07
MD,2002-11,13,13,956,211955658.6
ME,2002-11,6,6,207,21874111.15
MI,2002-11,28,30,1805,414139375.86
MN,2002-11,19,17,1064,260072510.56000003
MO,2002-11,22,24,1610,588547467.75
MS,2002-11,12,16,702,146987885.75
MT,2002-11,3,3,213,107475853.82
NC,2002-11,19,17,1151,352324362.64
ND,2002-11,7,7,497,188251054.3
NE,2002-11,10,10,680,128884723.24000001
NH,2002-11,4,4,269,34884040.98
NJ,2002-11,31,33,1661,103934820.76
NM,2002-11,11,11,598,186759568.51
NV,2002-11,9,8,600,136192566.54
NY,2002-11,76,73,3848,361057374.39
OH,2002-11,29,28,2200,960128010.98
OK,2002-11,17,18,1054,246668961.77
OR,2002-11,6,6,240,55063757.6
PA,2002-11,72,81,4038,805667291.25
RI,2002-11,5,6,202,21629964.0
SC,2002-11,16,18,1016,196213666.51
SD,2002-11,4,3,221,22322044.62
TN,2002-11,8,9,610,373821404.25
TX,2002-11,103,97,5714,1149867640.95
UT,2002-11,8,7,460,204147139.34
VA,2002-11,15,17,792,213572156.76
VT,2002-11,1,1,71,1036085.25
WA,2002-11,4,5,152,87168708.87
WI,2002-11,26,25,1912,283208312.34000003
WV,2002-11,15,17,1161,688207101.5
WY,2002-11,7,7,491,304206736.11
AL,2002-12,18,18,1038,556723038.51
AR,2002-12,10,10,537,139288501.65
AZ,2002-12,18,18,876,300677987.58
CA,2002-12,50,50,2244,228295967.4
CO,2002-12,20,20,1149,278605690.17
CT,2002-12,14,14,741,45528609.449999996
DC,2002-12,2,0,93,1440.0
DE,2002-12,8,8,468,41505792.21
FL,2002-12,55,55,3435,785668524.8100001
GA,2002-12,22,22,1407,611981145.66
IA,2002-12,21,21,1632,240186896.16
ID,2002-12,3,3,105,1898894.4
IL,2002-12,38,38,2457,652762047.8100001
IN,2002-12,27,27,2031,919301651.34
KS,2002-12,12,12,912,270919699.2
KY,2002-12,24,24,1809,683850593.28
LA,2002-12,21,21,1245,263123799.99
MA,2002-12,30,30,1620,221952352.29
MD,2002-12,13,13,969,266267674.2
ME,2002-12,6,6,213,28452057.06
MI,2002-12,30,30,1914,450985229.07
MN,2002-12,17,17,978,282746046.48
MO,2002-12,24,24,1680,667834739.16
MS,2002-12,16,16,879,167808339.99
MT,2002-12,3,3,216,89062848.0
NC,2002-12,17,17,1077,366729808.92
ND,2002-12,7,7,504,196801481.52
NE,2002-12,10,10,690,142734629.1
NH,2002-12,4,4,273,50834642.910000004
NJ,2002-12,33,33,1848,118745548.77
NM,2002-12,11,11,609,184743464.04
NV,2002-12,8,8,537,150720253.2
NY,2002-12,73,73,3759,389304006.6
OH,2002-12,28,28,2223,1090432786.23
OK,2002-12,18,18,1143,281148420.81
OR,2002-12,6,6,246,57097714.38
PA,2002-12,81,81,4473,964848634.17
RI,2002-12,6,6,258,19225257.93
SC,2002-12,18,18,1107,239680486.47
SD,2002-12,3,3,153,23863489.11
TN,2002-12,9,9,660,406819885.5
TX,2002-12,97,97,5385,1327126303.38
UT,2002-12,7,7,459,230583874.2
VA,2002-12,17,17,813,267007850.76
VT,2002-12,1,1,72,1817496.0
WA,2002-12,5,5,171,96499931.4
WI,2002-12,25,25,1803,305104822.77
WV,2002-12,17,17,1260,746134822.92
WY,2002-12,7,7,498,343074738.96
AL,2003-01,18,19,1056,609857265.52
AR,2003-01,11,9,620,136889173.22
AZ,2003-01,18,20,894,278835132.87
CA,2003-01,45,61,2037,197145886.89
CO,2003-01,21,23,1179,278358245.06
CT,2003-01,14,16,755,57325222.309999995
DC,2003-01,2,0,95,237165.32
DE,2003-01,8,7,476,59782884.32
FL,2003-01,57,55,3636,929761815.31
GA,2003-01,26,20,1517,679729294.53
IA,2003-01,20,20,1580,253304338.62
ID,2003-01,2,3,92,1677236.25
IL,2003-01,45,42,2607,793594698.5699999
IN,2003-01,26,29,2024,1025213909.75
KS,2003-01,13,12,997,296092388.56
KY,2003-01,22,22,1753,816993573.61
LA,2003-01,27,25,1635,291182342.59
MA,2003-01,29,29,1601,216520220.5
MD,2003-01,14,12,983,332778800.89
ME,2003-01,7,6,283,42333372.370000005
MI,2003-01,28,29,1861,487847961.81
MN,2003-01,17,19,1058,273603572.01
MO,2003-01,25,26,1777,675969284.02
MS,2003-01,17,19,938,155195279.15
MT,2003-01,3,4,219,113292946.41
NC,2003-01,20,22,1220,434008266.53
ND,2003-01,7,7,511,205579861.04
NE,2003-01,10,11,688,147541177.9
NH,2003-01,4,5,277,61592508.64
NJ,2003-01,33,32,1881,140372304.11
NM,2003-01,10,10,589,217422394.32
NV,2003-01,8,9,473,148651320.18
NY,2003-01,75,76,3948,441828044.86
OH,2003-01,32,33,2252,1168466782.69
OK,2003-01,18,20,1101,292661247.55
OR,2003-01,5,5,245,56817291.44
PA,2003-01,59,61,3434,1002744125.71
RI,2003-01,6,5,264,14761612.05
SC,2003-01,18,17,1125,277756139.34
SD,2003-01,4,3,229,23903808.25
TN,2003-01,10,10,700,453205887.47
TX,2003-01,101,100,5645,1444487813.95
UT,2003-01,8,7,476,248741225.34
VA,2003-01,17,23,878,324887182.29
VT,2003-01,1,1,73,2400623.25
WA,2003-01,4,6,160,91682239.89999999
WI,2003-01,27,27,1923,311217302.18
WV,2003-01,16,18,1258,772055262.51
WY,2003-01,7,8,505,350698440.41999996
AL,2003-02,17,19,1042,533454252.69
AR,2003-02,12,9,633,126487299.4
AZ,2003-02,16,20,818,238056714.0
CA,2003-02,51,61,2397,213032920.6
CO,2003-02,21,23,1200,248501298.64000002
CT,2003-02,15,16,816,52707933.59
DC,2003-02,2,0,97,887447.2200000001
DE,2003-02,8,7,484,60580671.61
FL,2003-02,52,55,3452,732474787.36
GA,2003-02,23,20,1384,565100743.75
IA,2003-02,21,20,1674,222012994.78
ID,2003-02,3,3,111,1840686.23
IL,2003-02,40,42,2549,700707726.51
IN,2003-02,27,29,2112,935961793.65
KS,2003-02,12,12,936,232637192.26
KY,2003-02,23,22,1837,713334906.8
LA,2003-02,28,25,1631,246220261.63
MA,2003-02,28,29,1598,207706687.32999998
MD,2003-02,13,12,995,285507483.71999997
ME,2003-02,7,6,290,35826988.69
MI,2003-02,29,29,1924,403392939.55
MN,2003-02,19,19,1121,263746751.93
MO,2003-02,25,26,1838,622164156.68
MS,2003-02,13,19,812,115217577.85
MT,2003-02,3,4,222,115635485.8
NC,2003-02,20,22,1240,395667271.83
ND,2003-02,7,7,518,182792844.92000002
NE,2003-02,10,11,698,135727525.9
NH,2003-02,5,5,283,53696576.410000004
NJ,2003-02,35,32,1945,113276032.3
NM,2003-02,11,10,631,188343435.06
NV,2003-02,8,9,481,116335952.23
NY,2003-02,73,76,3965,406675448.68
OH,2003-02,31,33,2306,1033622081.3100001
OK,2003-02,19,20,1193,268222935.0
OR,2003-02,5,5,250,54959440.5
PA,2003-02,59,61,3514,878732471.24
RI,2003-02,6,5,270,14660545.77
SC,2003-02,18,17,1143,237267760.34
SD,2003-02,2,3,85,19847334.39
TN,2003-02,10,10,710,387377328.88
TX,2003-02,104,100,5896,1244767783.1
UT,2003-02,8,7,484,200976084.99
VA,2003-02,18,23,915,249594898.36
VT,2003-02,1,1,74,1807986.5
WA,2003-02,5,6,181,84887884.46000001
WI,2003-02,27,27,1950,318872740.42
WV,2003-02,16,18,1274,742157672.1800001
WY,2003-02,7,8,512,307472099.8
AL,2003-03,17,19,1068,509207268.3
AR,2003-03,11,9,570,119234216.19
AZ,2003-03,17,20,855,239633650.98000002
CA,2003-03,52,61,2316,217890806.13
CO,2003-03,22,23,1224,260785235.57999998
CT,2003-03,14,16,783,50612012.55
DC,2003-03,2,0,99,1128656.25
DE,2003-03,7,7,417,65641044.51
FL,2003-03,54,55,3588,833278332.93
GA,2003-03,20,20,1311,628209122.91
IA,2003-03,21,20,1695,239398213.5
ID,2003-03,2,3,39,1414707.54
IL,2003-03,38,42,2553,634361885.01
IN,2003-03,28,29,2112,924925445.37
KS,2003-03,14,12,1098,257140079.82
KY,2003-03,22,22,1839,666929288.7
LA,2003-03,22,25,1329,254029407.99
MA,2003-03,29,29,1587,190185144.03
MD,2003-03,11,12,858,266686321.29
ME,2003-03,6,6,231,27104599.14
MI,2003-03,29,29,1986,444422908.35
MN,2003-03,17,19,1092,238855651.5
MO,2003-03,25,26,1803,618976356.69
MS,2003-03,14,19,828,131952496.02
MT,2003-03,3,4,225,112758167.25
NC,2003-03,19,22,1227,390235471.5
ND,2003-03,7,7,525,208227828.0
NE,2003-03,9,11,663,148532819.25
NH,2003-03,5,5,288,44741288.699999996
NJ,2003-03,33,32,1884,128750951.49
NM,2003-03,11,10,642,205784807.25
NV,2003-03,9,9,564,130591178.46
NY,2003-03,78,76,4299,413334329.61
OH,2003-03,31,33,2352,1043827872.3
OK,2003-03,19,20,1140,274229355.39
OR,2003-03,4,5,246,54235400.25
PA,2003-03,60,61,3564,859367731.83
RI,2003-03,6,5,276,14539755.0
SC,2003-03,17,17,1086,225018079.08
SD,2003-03,4,3,237,22371945.48
TN,2003-03,10,10,720,421407405.3
TX,2003-03,102,100,5913,1229821942.5
UT,2003-03,8,7,492,199396281.54000002
VA,2003-03,17,23,912,209333741.76
VT,2003-03,1,1,75,1720875.0
WA,2003-03,5,6,186,91736372.39999999
WI,2003-03,28,27,2052,306355609.65000004
WV,2003-03,16,18,1290,683683858.17
WY,2003-03,7,8,519,328788141.75
AL,2003-04,19,19,1111,476270974.93
AR,2003-04,9,9,429,113869647.78
AZ,2003-04,18,20,948,247622912.17999998
CA,2003-04,56,61,2435,145213880.64
CO,2003-04,23,23,1247,253200742.28
CT,2003-04,13,16,721,35315435.83
DC,2003-04,2,0,101,49564.92
DE,2003-04,8,7,500,48747725.38
FL,2003-04,56,55,3719,833622904.76
GA,2003-04,24,20,1485,611179297.38
IA,2003-04,20,20,1640,225315719.76
ID,2003-04,2,3,41,339412.23
IL,2003-04,44,42,2669,580098826.61
IN,2003-04,30,29,2235,902385963.07
KS,2003-04,15,12,1089,241091480.45000002
KY,2003-04,22,22,1819,663653695.92
LA,2003-04,24,25,1464,221806173.87
MA,2003-04,28,29,1615,188289511.26
MD,2003-04,12,12,873,237907649.32
ME,2003-04,6,6,237,27806373.560000002
MI,2003-04,30,29,1995,455656621.84
MN,2003-04,19,19,1222,251497174.37
MO,2003-04,23,26,1766,485140175.94
MS,2003-04,16,19,919,153079164.75
MT,2003-04,3,4,228,72222736.16
NC,2003-04,21,22,1248,276721404.3
ND,2003-04,6,7,456,162578832.92000002
NE,2003-04,11,11,794,112779202.03999999
NH,2003-04,7,5,343,34249420.25
NJ,2003-04,31,32,1816,101665707.53999999
NM,2003-04,12,10,654,211674321.45999998
NV,2003-04,10,9,574,97673068.11
NY,2003-04,82,76,4351,403212932.42
OH,2003-04,34,33,2365,962561964.93
OK,2003-04,20,20,1172,272089437.5
OR,2003-04,4,5,184,45462133.0
PA,2003-04,63,61,3759,845893363.83
RI,2003-04,6,5,282,8441493.15
SC,2003-04,16,17,1069,191361548.0
SD,2003-04,4,3,241,21221061.400000002
TN,2003-04,10,10,697,349176557.09
TX,2003-04,103,100,6088,1313054918.35
UT,2003-04,7,7,487,227727315.0
VA,2003-04,17,23,929,154449884.42
VT,2003-04,1,1,76,525977.0
WA,2003-04,2,6,95,62901399.24
WI,2003-04,28,27,2080,302518662.58
WV,2003-04,17,18,1253,665540927.5
WY,2003-04,8,8,527,270611299.08
AL,2003-05,29,19,1153,573811978.03
AR,2003-05,11,9,541,135198832.79
AZ,2003-05,20,20,1045,276766369.3
CA,2003-05,57,61,2457,132348736.91
CO,2003-05,23,23,1270,270597154.72
CT,2003-05,18,16,882,29543341.750000004
DC,2003-05,1,0,26,0.0
DE,2003-05,8,7,508,26311076.59
FL,2003-05,57,55,3852,1091995552.73
GA,2003-05,26,20,1561,672263154.98
IA,2003-05,20,20,1660,209054171.72
ID,2003-05,2,3,43,66894.85
IL,2003-05,54,42,2835,573247154.4399999
IN,2003-05,35,29,2296,870732162.14
KS,2003-05,16,12,1181,250184164.55
KY,2003-05,26,22,1924,673159363.58
LA,2003-05,29,25,1792,313461970.93
MA,2003-05,35,29,1816,176186432.32
MD,2003-05,11,12,808,148852994.28
ME,2003-05,6,6,243,19060422.8
MI,2003-05,39,29,2154,413091981.06
MN,2003-05,20,19,1255,277794535.26
MO,2003-05,23,26,1819,579138864.02
MS,2003-05,16,19,860,175190414.52
MT,2003-05,3,4,231,99092347.96999998
NC,2003-05,27,22,1314,324133023.24
ND,2003-05,7,7,539,160710117.26
NE,2003-05,12,11,807,97738029.36
NH,2003-05,6,5,345,40734632.57
NJ,2003-05,38,32,1957,79691582.91
NM,2003-05,12,10,666,237018220.57
NV,2003-05,12,9,678,91659969.07000001
NY,2003-05,85,76,4433,323814540.31
OH,2003-05,45,33,2442,1070627577.15
OK,2003-05,22,20,1346,313560022.96999997
OR,2003-05,2,5,154,41958278.67
PA,2003-05,72,61,4110,786239939.38
RI,2003-05,5,5,232,9350773.74
SC,2003-05,28,17,1184,228728106.87
SD,2003-05,2,3,91,24095763.44
TN,2003-05,15,10,579,316467935.94
TX,2003-05,108,100,6543,1691110857.39
UT,2003-05,8,7,508,259618812.89999998
VA,2003-05,34,23,878,190339701.32
VT,2003-05,1,1,77,2040577.0
WA,2003-05,3,6,117,69369229.17
WI,2003-05,28,27,2108,290412958.66
WV,2003-05,23,18,1327,711755205.05
WY,2003-05,8,8,535,278337646.94
AL,2003-06,29,19,1182,665025073.83
AR,2003-06,10,9,525,185789788.29000002
AZ,2003-06,21,20,1068,315867052.8
CA,2003-06,63,61,2760,178907891.43
CO,2003-06,22,23,1263,274249111.53
CT,2003-06,20,16,981,39613912.32
DC,2003-06,2,0,105,33947.16
DE,2003-06,11,7,597,39166738.29
FL,2003-06,57,55,3909,1089374558.73
GA,2003-06,24,20,1599,721020028.8
IA,2003-06,21,20,1683,243004254.72
ID,2003-06,3,3,123,356882.1
IL,2003-06,58,42,2943,686286900.69
IN,2003-06,34,29,2286,922354450.8
KS,2003-06,23,12,1581,280130433.0
KY,2003-06,25,22,1923,750501829.26
LA,2003-06,28,25,1683,310424855.82
MA,2003-06,37,29,1965,181857723.75
MD,2003-06,14,12,1053,221334514.01999998
ME,2003-06,6,6,249,24016303.62
MI,2003-06,41,29,2253,466976615.64
MN,2003-06,17,19,1080,269060987.19
MO,2003-06,25,26,1857,673309498.26
MS,2003-06,17,19,906,191992431.51
MT,2003-06,3,4,234,111418894.86000001
NC,2003-06,26,22,1305,389921041.62
ND,2003-06,7,7,546,177144715.8
NE,2003-06,12,11,819,148209399.18
NH,2003-06,7,5,357,57215494.02
NJ,2003-06,49,32,2490,112909587.72
NM,2003-06,12,10,678,234922738.53
NV,2003-06,12,9,690,158968176.06
NY,2003-06,92,76,4842,433477329.87
OH,2003-06,50,33,2625,1070706807.54
OK,2003-06,23,20,1371,331727272.62
OR,2003-06,5,5,204,19243777.08
PA,2003-06,75,61,4227,871859267.1899999
RI,2003-06,6,5,294,15093805.049999999
SC,2003-06,29,17,1248,266748197.58
SD,2003-06,4,3,249,18299188.74
TN,2003-06,16,10,696,381402890.22
TX,2003-06,113,100,6789,1743990373.44
UT,2003-06,8,7,516,250521384.12
VA,2003-06,37,23,1044,265388563.83
VT,2003-06,1,1,78,1656232.5
WA,2003-06,5,6,201,72363441.92999999
WI,2003-06,28,27,2136,306415623.96000004
WV,2003-06,24,18,1368,747440145.69
WY,2003-06,8,8,543,302182248.84
AL,2003-07,29,19,1208,727051801.09
AR,2003-07,11,9,614,212550421.10999998
AZ,2003-07,21,20,1089,391024663.78999996
CA,2003-07,65,61,2825,422639211.54
CO,2003-07,23,23,1316,326086682.53
CT,2003-07,20,16,1025,49656305.800000004
DC,2003-07,1,0,79,786426.8300000001
DE,2003-07,11,7,608,78773997.56
FL,2003-07,59,55,3983,1187190810.0
GA,2003-07,22,20,1558,826252489.37
IA,2003-07,22,20,1783,266001649.82
ID,2003-07,3,3,126,4504161.67
IL,2003-07,55,42,2989,853806593.07
IN,2003-07,36,29,2406,1042306029.42
KS,2003-07,23,12,1628,348589483.85
KY,2003-07,25,22,1951,836845291.41
LA,2003-07,27,25,1788,348749843.32
MA,2003-07,38,29,2030,252417427.41
MD,2003-07,15,12,1095,314294332.43
ME,2003-07,6,6,255,30009667.02
MI,2003-07,39,29,2265,549440845.75
MN,2003-07,19,19,1216,314258420.73
MO,2003-07,26,26,1907,778234903.62
MS,2003-07,19,19,886,212223369.33
MT,2003-07,3,4,237,131119185.08000001
NC,2003-07,27,22,1368,438222584.11
ND,2003-07,7,7,553,215901255.12
NE,2003-07,12,11,831,170730856.37
NH,2003-07,7,5,364,54939343.28
NJ,2003-07,44,32,2375,170734131.91
NM,2003-07,12,10,690,257832994.21
NV,2003-07,12,9,702,166910309.82
NY,2003-07,89,76,4790,568261241.68
OH,2003-07,49,33,2569,1191938413.7
OK,2003-07,23,20,1394,446613714.36
OR,2003-07,6,5,288,65996981.52
PA,2003-07,75,61,4245,1036595898.79
RI,2003-07,6,5,300,19329859.89
SC,2003-07,29,17,1277,299213954.86
SD,2003-07,4,3,253,28118377.76
TN,2003-07,17,10,761,518328081.52
TX,2003-07,113,100,6959,1956414552.83
UT,2003-07,8,7,524,288023826.29
VA,2003-07,35,23,1064,324415106.37
VT,2003-07,1,1,79,2473648.0
WA,2003-07,5,6,206,99296818.41000001
WI,2003-07,28,27,2164,397115720.59
WV,2003-07,25,18,1417,811661044.77
WY,2003-07,8,8,551,351913914.24
AL,2003-08,30,19,1242,761023939.12
AR,2003-08,14,9,814,212447794.7
AZ,2003-08,22,20,1112,376077974.83000004
CA,2003-08,66,61,2892,376758939.48
CO,2003-08,23,23,1339,317985777.75
CT,2003-08,23,16,1108,56140480.78
DC,2003-08,1,0,80,1861938.4
DE,2003-08,12,7,648,77501041.98
FL,2003-08,59,55,4042,1167229516.69
GA,2003-08,26,20,1648,884529363.47
IA,2003-08,21,20,1725,275840988.3
ID,2003-08,3,3,129,2396356.69
IL,2003-08,62,42,3217,907484693.71
IN,2003-08,38,29,2476,1082118449.4
KS,2003-08,23,12,1651,342727734.84999996
KY,2003-08,28,22,2099,851533452.97
LA,2003-08,28,25,1805,365264136.05
MA,2003-08,35,29,1888,243471498.44
MD,2003-08,14,12,1081,325437966.44
ME,2003-08,6,6,261,24418355.39
MI,2003-08,42,29,2337,524224289.52
MN,2003-08,20,19,1237,320596737.89
MO,2003-08,28,26,2033,791889017.04
MS,2003-08,19,19,932,223005193.02
MT,2003-08,3,4,240,135392768.0
NC,2003-08,27,22,1395,500254449.1
ND,2003-08,7,7,560,224360036.8
NE,2003-08,12,11,843,170747841.7
NH,2003-08,7,5,371,64772412.94
NJ,2003-08,49,32,2588,173884472.32
NM,2003-08,11,10,691,270125295.25
NV,2003-08,12,9,714,167835886.74
NY,2003-08,92,76,5026,609478645.64
OH,2003-08,54,33,2832,1285093630.41
OK,2003-08,23,20,1417,432444218.55
OR,2003-08,6,5,294,73703033.54
PA,2003-08,76,61,4406,1081815411.48
RI,2003-08,5,5,247,18082759.1
SC,2003-08,29,17,1306,313060172.34
SD,2003-08,4,3,257,28309581.12
