state,date,monthly_num_plants,yearly_num_plants,total_facility_age,total_weighted_facility_age
KS,1997-04,14,13,104,18481872.0
KY,1997-04,21,20,372,162871244.0
LA,1997-04,18,20,72,14151473.0
MA,1997-04,10,10,100,31071065.0
MD,1997-04,11,11,140,30546968.0
ME,1997-04,1,2,4,212263.0
MI,1997-04,22,24,184,45882341.0
MN,1997-04,12,12,96,34314581.0
MO,1997-04,16,18,364,121032989.0
MS,1997-04,8,9,104,26675337.0
MT,1997-04,3,3,12,3998027.0
NC,1997-04,15,15,60,18290888.0
ND,1997-04,6,7,24,6734444.0
NE,1997-04,8,9,32,6437883.0
NH,1997-04,3,3,60,7332825.0
NJ,1997-04,10,11,64,5483048.0
NM,1997-04,7,7,28,11230569.0
NV,1997-04,8,6,32,4190029.0
NY,1997-04,29,30,272,35650146.0
OH,1997-04,22,24,472,244341306.0
OK,1997-04,15,12,60,12062848.0
OR,1997-04,1,3,4,0.0
PA,1997-04,24,24,378,154926002.0
RI,1997-04,1,1,4,706514.0
SC,1997-04,11,13,44,8679212.0
SD,1997-04,3,2,12,1228360.0
TN,1997-04,7,7,124,101251296.0
TX,1997-04,83,82,329,65321052.0
UT,1997-04,6,5,36,8962106.0
VA,1997-04,9,10,36,10470194.0
VT,1997-04,1,1,4,55126.0
WA,1997-04,1,2,4,2609248.0
WI,1997-04,20,22,320,55844165.0
WV,1997-04,13,13,256,138786645.0
WY,1997-04,6,6,72,42240269.0
AL,1997-05,11,10,139,81153859.75
AR,1997-05,6,6,30,11561546.25
AZ,1997-05,11,9,55,16709633.75
CA,1997-05,27,24,135,18528238.75
CO,1997-05,14,14,70,14566526.75
CT,1997-05,7,6,35,4286013.75
DE,1997-05,4,4,20,2196068.75
FL,1997-05,45,46,297,82500700.25
GA,1997-05,14,13,322,149636982.0
IA,1997-05,19,21,215,21719068.0
ID,1997-05,1,1,5,10760.0
IL,1997-05,24,26,408,111374571.5
IN,1997-05,23,23,451,182830621.5
KS,1997-05,13,13,113,12331147.25
KY,1997-05,22,20,398,157099133.0
LA,1997-05,18,20,90,22890898.75
MA,1997-05,10,10,110,36105775.5
MD,1997-05,10,11,146,33187310.25
ME,1997-05,1,2,5,201972.5
MI,1997-05,23,24,211,55739299.25
MN,1997-05,12,12,108,34973764.5
MO,1997-05,17,18,385,135577234.25
MS,1997-05,9,9,117,31423092.75
MT,1997-05,3,3,15,4494251.25
NC,1997-05,15,15,75,22501472.5
ND,1997-05,6,7,30,10295277.5
NE,1997-05,8,9,40,7891783.75
NH,1997-05,3,3,63,13264649.0
NJ,1997-05,9,11,69,4169617.5
NM,1997-05,7,7,35,13259245.0
NV,1997-05,8,6,40,8007442.5
NY,1997-05,30,30,306,46520553.5
OH,1997-05,22,24,494,258245979.75
OK,1997-05,16,12,80,17138577.5
OR,1997-05,1,3,5,0.0
PA,1997-05,23,24,397,141683616.75
RI,1997-05,1,1,5,1155052.5
SC,1997-05,13,13,65,11640428.75
SD,1997-05,3,2,15,1528030.0
TN,1997-05,7,7,131,99610300.75
TX,1997-05,83,82,412,96656784.25
UT,1997-05,5,5,25,13376670.0
VA,1997-05,9,10,45,11511772.5
VT,1997-05,1,1,5,42796.25
WA,1997-05,1,2,5,2589370.0
WI,1997-05,21,22,345,61733634.25
WV,1997-05,12,13,240,132185054.25
WY,1997-05,6,6,78,39490146.5
AL,1997-06,12,10,156,83961699.0
AR,1997-06,9,6,54,15902889.0
AZ,1997-06,11,9,66,19124352.0
CA,1997-06,25,24,150,15436962.0
CO,1997-06,14,14,84,16463347.5
CT,1997-06,7,6,42,7506250.5
DC,1997-06,1,0,6,135763.5
DE,1997-06,5,4,30,2971663.5
FL,1997-06,47,46,354,103866088.5
GA,1997-06,13,13,330,169774984.5
IA,1997-06,21,21,246,29558700.0
ID,1997-06,1,1,6,0.0
IL,1997-06,26,26,468,141825436.5
IN,1997-06,23,23,474,208004830.5
KS,1997-06,18,13,156,22481938.5
KY,1997-06,21,20,414,164296011.0
LA,1997-06,21,20,126,31134381.0
MA,1997-06,10,10,120,41321650.5
MD,1997-06,12,11,168,45108699.0
ME,1997-06,1,2,6,1222308.0
MI,1997-06,23,24,234,65710786.5
MN,1997-06,12,12,120,45573354.0
MO,1997-06,18,18,408,152722737.0
MS,1997-06,10,9,132,41840790.0
MT,1997-06,2,3,12,6063835.5
NC,1997-06,15,15,90,28311705.0
ND,1997-06,7,7,42,13520125.5
NE,1997-06,8,9,48,9514071.0
NH,1997-06,3,3,66,13455489.0
NJ,1997-06,11,11,90,7578909.0
NM,1997-06,7,7,42,15917503.5
NV,1997-06,8,6,48,9020698.5
NY,1997-06,31,30,366,73886970.0
OH,1997-06,25,24,576,273426804.0
OK,1997-06,16,12,96,24184587.0
OR,1997-06,2,3,12,79084.5
PA,1997-06,25,24,432,193505721.0
RI,1997-06,1,1,6,1223215.5
SC,1997-06,13,13,78,16841602.5
SD,1997-06,3,2,18,1838728.5
TN,1997-06,7,7,138,99244573.5
TX,1997-06,84,82,501,139345836.0
UT,1997-06,6,5,48,16164102.0
VA,1997-06,9,10,54,16363669.5
VT,1997-06,1,1,6,132961.5
WA,1997-06,1,2,6,1337430.0
WI,1997-06,22,22,369,77715497.25
WV,1997-06,13,13,282,149074935.0
WY,1997-06,6,6,84,50565229.5
AL,1997-07,12,10,168,115039197.0
AR,1997-07,9,6,63,22501897.25
AZ,1997-07,11,9,77,26399912.0
CA,1997-07,27,24,183,31056207.5
CO,1997-07,14,14,98,22643348.490000002
CT,1997-07,7,6,49,9203988.5
DC,1997-07,1,0,7,282794.75
