state,date,monthly_renew_pct,monthly_fossil_pct,monthly_coal_pct,yearly_renew_pct,yearly_fossil_pct,yearly_coal_pct
VA,2017-05,0.015995410754325593,0.6218578338395716,0.15375693238188556,0.015810894457643207,0.6159166996075047,0.1186326058566611
VA,2017-06,0.01596935925041,0.6210190164316103,0.14879779572860932,0.015810894457643207,0.6159166996075047,0.1186326058566611
VA,2017-07,0.01594320609223362,0.6201769259165062,0.14381930827807088,0.015810894457643207,0.6159166996075047,0.1186326058566611
VA,2017-08,0.015916950683643384,0.6193315430990695,0.13882135654720548,0.015810894457643207,0.6159166996075047,0.1186326058566611
VA,2017-09,0.015890592423815568,0.618482848633722,0.13380382616384595,0.015810894457643207,0.6159166996075047,0.1186326058566611
VA,2017-10,0.015864130707209954,0.6176308230230223,0.12876660185799838,0.015810894457643207,0.6159166996075047,0.1186326058566611
VA,2017-11,0.015837564923523458,0.6167754466161719,0.12370956745301469,0.015810894457643207,0.6159166996075047,0.1186326058566611
VA,2017-12,0.015810894457643207,0.6159166996075047,0.1186326058566611,0.015810894457643207,0.6159166996075047,0.1186326058566611
VA,2018-01,0.016744615638876276,0.6173398062940703,0.11673899595940826,0.02646796424814757,0.6321593934468311,0.09701980190980922
VA,2018-02,0.017669654338943346,0.618749679804339,0.11486299435100987,0.02646796424814757,0.6321593934468311,0.09701980190980922
VA,2018-03,0.01858613110229451,0.620146503862978,0.11300435656430763,0.02646796424814757,0.6321593934468311,0.09701980190980922
VA,2018-04,0.019494164252198094,0.6215304588092977,0.11116284263675552,0.02646796424814757,0.6321593934468311,0.09701980190980922
VA,2018-05,0.02039386994166613,0.6229017216748698,0.1093382170071415,0.02646796424814757,0.6321593934468311,0.09701980190980922
VA,2018-06,0.021285362202985086,0.6242604662590177,0.10753024841513788,0.02646796424814757,0.6321593934468311,0.09701980190980922
VA,2018-07,0.022168752995896327,0.6256068632022489,0.1057387098035904,0.02646796424814757,0.6321593934468311,0.09701980190980922
VA,2018-08,0.02304415225446895,0.6269410800576961,0.10396337822345875,0.02646796424814757,0.6321593934468311,0.09701980190980922
VA,2018-09,0.02391166793270623,0.6282632813606264,0.10220403474132553,0.02646796424814757,0.6321593934468311,0.09701980190980922
VA,2018-10,0.024771406048925523,0.6295736286960817,0.10046046434939288,0.02646796424814757,0.6321593934468311,0.09701980190980922
VA,2018-11,0.025623470728949743,0.6308722807647085,0.09873245587788891,0.02646796424814757,0.6321593934468311,0.09701980190980922
VA,2018-12,0.026467964248147565,0.6321593934468311,0.09701980190980922,0.02646796424814757,0.6321593934468311,0.09701980190980922
VA,2019-01,0.026385661489496372,0.6325522054338627,0.09181155571795935,0.025492659177613532,0.6368142984463352,0.035300984670296465
VA,2019-02,0.02630354766316378,0.6329441156907372,0.0866152654562022,0.025492659177613532,0.6368142984463352,0.035300984670296465
VA,2019-03,0.026221622119332617,0.6333351273188813,0.08143089000309951,0.025492659177613532,0.6368142984463352,0.035300984670296465
VA,2019-04,0.02613988421116229,0.6337252434055154,0.07625838842557556,0.025492659177613532,0.6368142984463352,0.035300984670296465
VA,2019-05,0.026058333294771766,0.6341144670237342,0.07109771997783967,0.025492659177613532,0.6368142984463352,0.035300984670296465
VA,2019-06,0.02597696872922264,0.6345028012325881,0.06594884410031655,0.025492659177613532,0.6368142984463352,0.035300984670296465
VA,2019-07,0.025895789876502383,0.6348902490771632,0.06081172041858346,0.025492659177613532,0.6368142984463352,0.035300984670296465
VA,2019-08,0.02581479610150764,0.6352768135886604,0.05568630874231512,0.025492659177613532,0.6368142984463352,0.035300984670296465
VA,2019-09,0.025733986772027664,0.635662497784475,0.050572569064235455,0.025492659177613532,0.6368142984463352,0.035300984670296465
VA,2019-10,0.025653361258727882,0.6360473046682752,0.04547046155907672,0.025492659177613532,0.6368142984463352,0.035300984670296465
VA,2019-11,0.025572918935133554,0.6364312372300797,0.04037994658254561,0.025492659177613532,0.6368142984463352,0.035300984670296465
VA,2019-12,0.025492659177613532,0.6368142984463352,0.03530098467029646,0.025492659177613532,0.6368142984463352,0.035300984670296465
VA,2020-01,0.02615526144992309,0.6376610086547816,0.03540783363389004,0.03300338618805905,0.6464119251046817,0.03651213867691218
VA,2020-02,0.02681083550764524,0.6384987378179059,0.03551354925177087,0.03300338618805905,0.6464119251046817,0.03651213867691218
VA,2020-03,0.02745949258314523,0.6393276280746394,0.03561814946088762,0.03300338618805905,0.6464119251046817,0.03651213867691218
VA,2020-04,0.028101341573873905,0.64014781858023,0.0357216518216687,0.03300338618805905,0.6464119251046817,0.03651213867691218
VA,2020-05,0.028736489103314052,0.6409594455841219,0.03582407352785022,0.03300338618805905,0.6464119251046817,0.03651213867691218
VA,2020-06,0.02936503958002766,0.6417626425054097,0.03592543141599782,0.03300338618805905,0.6464119251046817,0.03651213867691218
VA,2020-07,0.029987095254872757,0.6425575400059533,0.036025741974733204,0.03300338618805905,0.6464119251046817,0.03651213867691218
VA,2020-08,0.030602756276455742,0.6433442660612383,0.03612502135367619,0.03300338618805905,0.6464119251046817,0.03651213867691218
VA,2020-09,0.031212120744882277,0.6441229460290611,0.03622328537211243,0.03300338618805905,0.6464119251046817,0.03651213867691218
VA,2020-10,0.03181528476386745,0.644893702716119,0.03632054952739652,0.03300338618805905,0.6464119251046817,0.03651213867691218
VA,2020-11,0.0324123424912632,0.6456566564425766,0.03641682900309981,0.03300338618805905,0.6464119251046817,0.03651213867691218
VA,2020-12,0.03300338618805905,0.6464119251046817,0.03651213867691217,0.03300338618805905,0.6464119251046817,0.03651213867691218
VA,2021-01,0.03425651367254086,0.6437838631349467,0.03637798814031222,0.04945327242243543,0.6119131841909378,0.03475113583188856
VA,2021-02,0.035529357077870395,0.6411144528886641,0.036241726963419055,0.04945327242243543,0.6119131841909378,0.03475113583188856
