state,republican_votes,total_votes,republican_vote_pct,date
IN,552732,4765851,11.6,1998-12-01
KS,474639,2908944,16.32,1998-12-01
KY,569817,3436242,16.58,1998-12-01
LA,314580,7753320,4.06,1998-12-01
MD,444637,3014894,14.75,1998-12-01
MO,830625,7884285,10.54,1998-12-01
NC,945943,6036429,15.67,1998-12-01
ND,75013,640074,11.72,1998-12-01
NH,213477,1258784,16.96,1998-12-01
NV,208220,2179320,9.55,1998-12-01
NY,1680203,54888647,3.06,1998-12-01
OH,1922087,10213053,18.82,1998-12-01
OK,570682,3438852,16.6,1998-12-01
OR,377739,7824229,4.83,1998-12-01
PA,1814180,11829996,15.34,1998-12-01
SC,488238,4276252,11.42,1998-12-01
SD,95431,786333,12.14,1998-12-01
UT,316652,1979636,16.0,1998-12-01
VT,48051,1498252,3.21,1998-12-01
WA,785377,3777122,20.79,1998-12-01
WI,852272,10565016,8.07,1998-12-01
AZ,1108196,5588304,19.83,2000-12-01
CA,3886853,74365256,5.23,2000-12-01
CT,448077,5245044,8.54,2000-12-01
DE,142891,1634965,8.74,2000-12-01
FL,2705348,46853848,5.77,2000-12-01
HI,84701,1728115,4.9,2000-12-01
IN,1427944,6435627,22.19,2000-12-01
MA,334341,24606432,1.36,2000-12-01
MD,715178,7787592,9.18,2000-12-01
ME,437689,1269744,34.47,2000-12-01
MI,1994693,29173795,6.84,2000-12-01
MN,1047474,19356160,5.41,2000-12-01
MO,1142852,16531102,6.91,2000-12-01
MS,654941,4970720,13.18,2000-12-01
MT,208082,1234803,16.85,2000-12-01
ND,111069,575078,19.31,2000-12-01
NE,337977,2077050,16.27,2000-12-01
NJ,1420267,33172282,4.28,2000-12-01
NM,225517,1768578,12.75,2000-12-01
NV,330687,5406984,6.12,2000-12-01
NY,2724589,83515944,3.26,2000-12-01
OH,2665512,22244005,11.98,2000-12-01
PA,2481962,23675580,10.48,2000-12-01
RI,222588,1565412,14.22,2000-12-01
TN,1255444,15428904,8.14,2000-12-01
TX,4078954,25071856,16.27,2000-12-01
UT,504803,3078816,16.4,2000-12-01
VA,1420460,8154903,17.42,2000-12-01
VT,189133,2308000,8.19,2000-12-01
WA,1197208,7384137,16.21,2000-12-01
WI,940744,15240498,6.17,2000-12-01
WV,121635,1810431,6.72,2000-12-01
WY,157622,640977,24.59,2000-12-01
AK,179438,1377288,13.03,2002-12-01
AL,792561,5412092,14.64,2002-12-01
AR,370735,1608242,23.05,2002-12-01
CO,717893,8496492,8.45,2002-12-01
DE,94793,1161570,8.16,2002-12-01
GA,1071352,6094812,17.58,2002-12-01
IA,447892,5115375,8.76,2002-12-01
ID,266215,1225632,21.72,2002-12-01
IL,1325703,10460553,12.67,2002-12-01
KS,641075,2330550,27.51,2002-12-01
KY,731679,2262626,32.34,2002-12-01
LA,1229344,27297919,4.5,2002-12-01
ME,295041,1009798,29.22,2002-12-01
MI,1185545,15646435,7.58,2002-12-01
MN,1116697,20291724,5.5,2002-12-01
MO,935032,7510480,12.45,2002-12-01
MS,533269,1260990,42.29,2002-12-01
MT,103611,1306148,7.93,2002-12-01
NC,1248664,9324724,13.39,2002-12-01
NE,397438,1920868,20.69,2002-12-01
NH,227229,2235675,10.16,2002-12-01
NJ,928439,12675624,7.32,2002-12-01
NM,314193,966112,32.52,2002-12-01
OK,583579,3055272,19.1,2002-12-01
OR,712287,6336105,11.24,2002-12-01
RI,69808,647164,10.79,2002-12-01
SC,600010,5514560,10.88,2002-12-01
SD,166949,1012503,16.49,2002-12-01
TN,891498,14781888,6.03,2002-12-01
TX,2496243,22570060,11.06,2002-12-01
VA,1229894,5957688,20.64,2002-12-01
WV,160902,872366,18.44,2002-12-01
WY,133710,366560,36.48,2002-12-01
AK,149773,2466520,6.07,2004-12-01
AL,1242200,5517198,22.52,2004-12-01
AR,458036,4157396,11.02,2004-12-01
AZ,1505372,5885031,25.58,2004-12-01
CA,4555922,72319770,6.3,2004-12-01
CO,980668,14752304,6.65,2004-12-01
CT,457749,5698904,8.03,2004-12-01
FL,3672864,52009258,7.06,2004-12-01
GA,1864202,16104905,11.58,2004-12-01
HI,87172,1661388,5.25,2004-12-01
IA,1038175,8875368,11.7,2004-12-01
ID,499796,1007864,49.59,2004-12-01
IL,1390690,25707600,5.41,2004-12-01
IN,903913,7284699,12.41,2004-12-01
KS,780863,4516088,17.29,2004-12-01
KY,873507,3448724,25.33,2004-12-01
LA,943014,12936392,7.29,2004-12-01
MD,783055,16253517,4.82,2004-12-01
MO,1518089,10825608,14.02,2004-12-01
NC,1791450,13888328,12.9,2004-12-01
ND,98553,621392,15.86,2004-12-01
NH,434847,2628344,16.54,2004-12-01
NV,284640,4860408,5.86,2004-12-01
NY,1625069,74478180,2.18,2004-12-01
OH,3464356,16277469,21.28,2004-12-01
OK,763433,4340538,17.59,2004-12-01
OR,565254,10683300,5.29,2004-12-01
PA,2925080,27795525,10.52,2004-12-01
