state,date,republican_vote_pct
WY,1988-12-01,25.18
AK,1990-12-01,22.08
AL,1990-12-01,13.14
CO,1990-12-01,13.92
DE,1990-12-01,8.96
HI,1990-12-01,14.87
IA,1990-12-01,15.14
ID,1990-12-01,30.65
IL,1990-12-01,17.47
IN,1990-12-01,26.82
KS,1990-12-01,24.53
KY,1990-12-01,26.09
MA,1990-12-01,13.65
ME,1990-12-01,20.45
MI,1990-12-01,10.31
MN,1990-12-01,11.95
MS,1990-12-01,100.0
MT,1990-12-01,9.79
NC,1990-12-01,17.51
NE,1990-12-01,13.64
NH,1990-12-01,16.28
NJ,1990-12-01,9.48
NM,1990-12-01,24.3
OK,1990-12-01,8.41
OR,1990-12-01,17.89
RI,1990-12-01,12.72
SC,1990-12-01,12.84
SD,1990-12-01,17.46
TN,1990-12-01,5.96
TX,1990-12-01,15.06
VA,1990-12-01,26.97
WV,1990-12-01,15.84
WY,1990-12-01,31.97
AK,1992-12-01,13.26
AL,1992-12-01,8.27
AR,1992-12-01,19.91
AZ,1992-12-01,9.3
CA,1992-12-01,6.75
CO,1992-12-01,7.12
CT,1992-12-01,7.62
FL,1992-12-01,11.53
GA,1992-12-01,25.32
HI,1992-12-01,6.73
IA,1992-12-01,6.96
ID,1992-12-01,28.26
IL,1992-12-01,4.78
IN,1992-12-01,11.47
KS,1992-12-01,15.67
KY,1992-12-01,11.94
MD,1992-12-01,14.49
MO,1992-12-01,17.3
NC,1992-12-01,10.07
ND,1992-12-01,12.96
NH,1992-12-01,8.03
NV,1992-12-01,5.74
NY,1992-12-01,3.75
OH,1992-12-01,14.1
OK,1992-12-01,14.64
OR,1992-12-01,13.03
PA,1992-12-01,16.37
SC,1992-12-01,9.39
SD,1992-12-01,8.13
UT,1992-12-01,11.08
VT,1992-12-01,8.67
WA,1992-12-01,23.0
WI,1992-12-01,5.75
AZ,1994-12-01,13.43
CA,1994-12-01,6.4
CT,1994-12-01,7.75
DE,1994-12-01,18.61
FL,1994-12-01,23.5
HI,1994-12-01,8.06
IN,1994-12-01,16.84
MA,1994-12-01,8.2
MD,1994-12-01,13.63
ME,1994-12-01,15.06
MI,1994-12-01,8.65
MN,1994-12-01,7.01
MO,1994-12-01,11.94
MS,1994-12-01,34.4
MT,1994-12-01,31.19
ND,1994-12-01,21.01
NE,1994-12-01,15.0
NJ,1994-12-01,5.22
