,state,date,total_co2
165,AL,2003-10-01,7308311.5770000005
166,AL,2003-11-01,7036405.007999999
167,AL,2003-12-01,7306221.882999999
168,AL,2004-01-01,7168877.549
169,AL,2004-02-01,6171695.592
170,AL,2004-03-01,6386030.462
171,AL,2004-04-01,5813929.867
172,AL,2004-05-01,7716284.41
173,AL,2004-06-01,8191460.107
174,AL,2004-07-01,9070717.612
175,AL,2004-08-01,8566500.769
176,AL,2004-09-01,7105026.83
177,AL,2004-10-01,7452770.574
178,AL,2004-11-01,6774335.521
179,AL,2004-12-01,7248786.694
180,AL,2005-01-01,7828972.171
181,AL,2005-02-01,6443405.776000001
182,AL,2005-03-01,7296086.598999999
183,AL,2005-04-01,6049318.953
184,AL,2005-05-01,6848692.033
185,AL,2005-06-01,8058871.104
186,AL,2005-07-01,8634364.494
187,AL,2005-08-01,9225482.007000001
188,AL,2005-09-01,8368174.722
189,AL,2005-10-01,7514450.177
190,AL,2005-11-01,7221663.268
191,AL,2005-12-01,7982483.269
192,AL,2006-01-01,6765781.189
193,AL,2006-02-01,6502956.447
194,AL,2006-03-01,6876452.302
195,AL,2006-04-01,6674265.072
196,AL,2006-05-01,7724754.271000001
197,AL,2006-06-01,8606850.388
198,AL,2006-07-01,9113784.501
199,AL,2006-08-01,9505773.971
200,AL,2006-09-01,7776038.345
201,AL,2006-10-01,7504958.277
202,AL,2006-11-01,7345232.926
203,AL,2006-12-01,8016768.862
204,AL,2007-01-01,7078367.8610000005
205,AL,2007-02-01,7349789.498
206,AL,2007-03-01,7406522.963
207,AL,2007-04-01,7493187.226000001
208,AL,2007-05-01,8221754.183
209,AL,2007-06-01,8742463.974
210,AL,2007-07-01,9099781.571
211,AL,2007-08-01,9658032.277
212,AL,2007-09-01,8284775.634
213,AL,2007-10-01,7408600.083
214,AL,2007-11-01,6611471.551
215,AL,2007-12-01,7448840.585
216,AL,2008-01-01,7785355.525
217,AL,2008-02-01,6717322.766
218,AL,2008-03-01,7140233.705
219,AL,2008-04-01,6824353.512
220,AL,2008-05-01,7442295.774999999
221,AL,2008-06-01,8540067.601
222,AL,2008-07-01,9097500.596
223,AL,2008-08-01,8327620.561
224,AL,2008-09-01,7486116.879
225,AL,2008-10-01,6684202.686
226,AL,2008-11-01,6728543.537
227,AL,2008-12-01,6653195.103999999
228,AL,2009-01-01,7003955.835
229,AL,2009-02-01,6209051.738
230,AL,2009-03-01,5630505.426
231,AL,2009-04-01,4955274.1389999995
232,AL,2009-05-01,5906168.206
233,AL,2009-06-01,6667470.85
234,AL,2009-07-01,6970340.1219999995
235,AL,2009-08-01,7434985.902
236,AL,2009-09-01,6495568.455
237,AL,2009-10-01,5634004.3
238,AL,2009-11-01,5319192.262
239,AL,2009-12-01,5807261.004
240,AL,2010-01-01,7254934.728
241,AL,2010-02-01,6439573.225
242,AL,2010-03-01,6411017.779
243,AL,2010-04-01,5843514.419
244,AL,2010-05-01,7589012.001
245,AL,2010-06-01,8404269.617
