state,date,monthly_energy_prod,monthly_energy_use,yearly_energy_prod,yearly_energy_use,monthly_energy_flow,yearly_energy_flow
MT,2022-06,60456.125,32493.541666666664,730452,395289,27962.583333333336,335163
MT,2022-07,60525.270833333336,32568.076388888887,730452,395289,27957.19444444445,335163
MT,2022-08,60594.416666666664,32642.61111111111,730452,395289,27951.805555555555,335163
MT,2022-09,60663.5625,32717.145833333332,730452,395289,27946.416666666668,335163
MT,2022-10,60732.708333333336,32791.680555555555,730452,395289,27941.02777777778,335163
MT,2022-11,60801.854166666664,32866.21527777778,730452,395289,27935.638888888883,335163
MT,2022-12,60871.0,32940.75,730452,395289,27930.25,335163
NC,1960-01,,,90780,799267,,-708487
NC,1960-02,,,90780,799267,,-708487
NC,1960-03,,,90780,799267,,-708487
NC,1960-04,,,90780,799267,,-708487
NC,1960-05,,,90780,799267,,-708487
NC,1960-06,,,90780,799267,,-708487
NC,1960-07,,,90780,799267,,-708487
NC,1960-08,,,90780,799267,,-708487
NC,1960-09,,,90780,799267,,-708487
NC,1960-10,,,90780,799267,,-708487
NC,1960-11,,,90780,799267,,-708487
NC,1960-12,7565.0,66605.58333333333,90780,799267,-59040.58333333333,-708487
NC,1961-01,7535.416666666667,66825.73611111111,86520,830969,-59290.319444444445,-744449
NC,1961-02,7505.833333333333,67045.88888888889,86520,830969,-59540.055555555555,-744449
NC,1961-03,7476.25,67266.04166666666,86520,830969,-59789.79166666666,-744449
NC,1961-04,7446.666666666667,67486.19444444444,86520,830969,-60039.527777777774,-744449
NC,1961-05,7417.083333333333,67706.34722222222,86520,830969,-60289.26388888888,-744449
NC,1961-06,7387.5,67926.5,86520,830969,-60539.0,-744449
NC,1961-07,7357.916666666667,68146.65277777778,86520,830969,-60788.73611111112,-744449
NC,1961-08,7328.333333333333,68366.80555555556,86520,830969,-61038.472222222226,-744449
NC,1961-09,7298.75,68586.95833333334,86520,830969,-61288.20833333334,-744449
NC,1961-10,7269.166666666667,68807.11111111111,86520,830969,-61537.944444444445,-744449
NC,1961-11,7239.583333333333,69027.26388888889,86520,830969,-61787.680555555555,-744449
NC,1961-12,7210.0,69247.41666666667,86520,830969,-62037.41666666667,-744449
NC,1962-01,7221.388888888889,69531.05555555556,88160,871813,-62309.66666666667,-783653
NC,1962-02,7232.777777777777,69814.69444444445,88160,871813,-62581.91666666667,-783653
NC,1962-03,7244.166666666667,70098.33333333334,88160,871813,-62854.16666666668,-783653
NC,1962-04,7255.555555555556,70381.97222222222,88160,871813,-63126.416666666664,-783653
NC,1962-05,7266.944444444444,70665.61111111111,88160,871813,-63398.666666666664,-783653
NC,1962-06,7278.333333333334,70949.25,88160,871813,-63670.916666666664,-783653
NC,1962-07,7289.722222222223,71232.88888888889,88160,871813,-63943.16666666667,-783653
NC,1962-08,7301.111111111111,71516.52777777778,88160,871813,-64215.41666666667,-783653
